pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
,김광현,이종욱,77829,73339.0,0,볼,,,,0,0,0,1,초,0,0,0,0,좌,좌,,,,김광현,박경완,정경배,정근우,최정,나주환,박재상,조동화,박재홍,,,,77829.0,92809.0,96441.0,75808.0,75847.0,73209.0,71857.0,71848.0,96362.0,,,,,,,,,,,,,,,,,,20080513,SK,OB,SSG,두산,문학,박기택,1,1,-1,20080513OBSK0
,김광현,이종욱,77829,73339.0,0,볼,,,,1,0,0,1,초,0,0,0,0,좌,좌,,,,김광현,박경완,정경배,정근우,최정,나주환,박재상,조동화,박재홍,,,,77829.0,92809.0,96441.0,75808.0,75847.0,73209.0,71857.0,71848.0,96362.0,,,,,,,,,,,,,,,,,,20080513,SK,OB,SSG,두산,문학,박기택,1,2,-1,20080513OBSK0
,김광현,이종욱,77829,73339.0,0,스트라이크,,,,2,0,0,1,초,0,0,0,0,좌,좌,,,,김광현,박경완,정경배,정근우,최정,나주환,박재상,조동화,박재홍,,,,77829.0,92809.0,96441.0,75808.0,75847.0,73209.0,71857.0,71848.0,96362.0,,,,,,,,,,,,,,,,,,20080513,SK,OB,SSG,두산,문학,박기택,1,3,-1,20080513OBSK0
,김광현,이종욱,77829,73339.0,0,파울,,,,2,1,0,1,초,0,0,0,0,좌,좌,,,,김광현,박경완,정경배,정근우,최정,나주환,박재상,조동화,박재홍,,,,77829.0,92809.0,96441.0,75808.0,75847.0,73209.0,71857.0,71848.0,96362.0,,,,,,,,,,,,,,,,,,20080513,SK,OB,SSG,두산,문학,박기택,1,4,-1,20080513OBSK0
,김광현,이종욱,77829,73339.0,0,타격,필드 아웃,플라이 아웃,이종욱 : 좌익수 플라이 아웃;,2,2,0,1,초,0,0,1,0,좌,좌,,,,김광현,박경완,정경배,정근우,최정,나주환,박재상,조동화,박재홍,,,,77829.0,92809.0,96441.0,75808.0,75847.0,73209.0,71857.0,71848.0,96362.0,,,,,,,,,,,,,,,,,,20080513,SK,OB,SSG,두산,문학,박기택,1,5,-1,20080513OBSK0
,김광현,김현수,77829,76290.0,0,볼,,,,0,0,1,1,초,0,0,0,0,좌,좌,,,,김광현,박경완,정경배,정근우,최정,나주환,박재상,조동화,박재홍,,,,77829.0,92809.0,96441.0,75808.0,75847.0,73209.0,71857.0,71848.0,96362.0,,,,,,,,,,,,,,,,,,20080513,SK,OB,SSG,두산,문학,박기택,2,1,-1,20080513OBSK0
,김광현,김현수,77829,76290.0,0,타격,필드 아웃,플라이 아웃,김현수 : 좌익수 플라이 아웃;,1,0,1,1,초,0,0,1,0,좌,좌,,,,김광현,박경완,정경배,정근우,최정,나주환,박재상,조동화,박재홍,,,,77829.0,92809.0,96441.0,75808.0,75847.0,73209.0,71857.0,71848.0,96362.0,,,,,,,,,,,,,,,,,,20080513,SK,OB,SSG,두산,문학,박기택,2,2,-1,20080513OBSK0
,김광현,고영민,77829,72214.0,0,헛스윙,,,,0,0,2,1,초,0,0,0,0,우,좌,,,,김광현,박경완,정경배,정근우,최정,나주환,박재상,조동화,박재홍,,,,77829.0,92809.0,96441.0,75808.0,75847.0,73209.0,71857.0,71848.0,96362.0,,,,,,,,,,,,,,,,,,20080513,SK,OB,SSG,두산,문학,박기택,3,1,-1,20080513OBSK0
,김광현,고영민,77829,72214.0,0,헛스윙,,,,0,1,2,1,초,0,0,0,0,우,좌,,,,김광현,박경완,정경배,정근우,최정,나주환,박재상,조동화,박재홍,,,,77829.0,92809.0,96441.0,75808.0,75847.0,73209.0,71857.0,71848.0,96362.0,,,,,,,,,,,,,,,,,,20080513,SK,OB,SSG,두산,문학,박기택,3,2,-1,20080513OBSK0
,김광현,고영민,77829,72214.0,0,볼,,,,0,2,2,1,초,0,0,0,0,우,좌,,,,김광현,박경완,정경배,정근우,최정,나주환,박재상,조동화,박재홍,,,,77829.0,92809.0,96441.0,75808.0,75847.0,73209.0,71857.0,71848.0,96362.0,,,,,,,,,,,,,,,,,,20080513,SK,OB,SSG,두산,문학,박기택,3,3,-1,20080513OBSK0
