pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
체인지업,김원형,정수근,91848,95208,127,볼,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,1,1,-1,20080524LTSK0
직구,김원형,정수근,91848,95208,138,타격,필드 아웃,플라이 아웃,정수근 : 좌익수 플라이 아웃;,1,0,0,1,초,0,0,1,0,좌,우,,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,1,2,-1,20080524LTSK0
커브,김원형,김주찬,91848,70410,118,볼,,,,0,0,1,1,초,0,0,0,0,우,우,,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,2,1,-1,20080524LTSK0
슬라이더,김원형,김주찬,91848,70410,129,스트라이크,,,,1,0,1,1,초,0,0,0,0,우,우,,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,2,2,-1,20080524LTSK0
직구,김원형,김주찬,91848,70410,139,헛스윙,,,,1,1,1,1,초,0,0,0,0,우,우,,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,2,3,-1,20080524LTSK0
커브,김원형,김주찬,91848,70410,117,타격,포스 아웃,땅볼 아웃,김주찬 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃);,1,2,1,1,초,0,0,1,0,우,우,,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,2,4,-1,20080524LTSK0
직구,김원형,조성환,91848,99543,140,볼,,,,0,0,2,1,초,0,0,0,0,우,우,,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,3,1,-1,20080524LTSK0
슬라이더,김원형,조성환,91848,99543,128,파울,,,,1,0,2,1,초,0,0,0,0,우,우,,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,3,2,-1,20080524LTSK0
직구,김원형,조성환,91848,99543,139,타격,안타,안타,조성환 : 좌익수 왼쪽 1루타;,1,1,2,1,초,0,0,0,0,우,우,,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,3,3,-1,20080524LTSK0
커브,김원형,이대호,91848,71564,115,파울,,,,0,0,2,1,초,0,0,0,0,우,우,조성환,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,99543.0,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,4,1,-1,20080524LTSK0
직구,김원형,이대호,91848,71564,138,타격,안타,안타,이대호 : 우익수 앞 1루타; 1루주자 조성환 :   3루까지 진루;,0,1,2,1,초,0,0,0,0,우,우,조성환,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,99543.0,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,4,2,-1,20080524LTSK0
직구,김원형,강민호,91848,74540,140,볼,,,,0,0,2,1,초,0,0,0,0,우,우,이대호,,조성환,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,71564.0,,99543.0,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,5,1,-1,20080524LTSK0
직구,김원형,강민호,91848,74540,140,타격,홈런,홈런,강민호 : 좌익수 뒤 홈런(홈런거리:115M); 1루주자 이대호 :  홈인; 3루주자 조성환 :  홈인;,1,0,2,1,초,0,0,0,3,우,우,이대호,,조성환,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,71564.0,,99543.0,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,5,2,-1,20080524LTSK0
체인지업,김원형,가르시아,91848,78595,128,스트라이크,,,,0,0,2,1,초,3,0,0,0,좌,우,,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,6,1,-1,20080524LTSK0
커브,김원형,가르시아,91848,78595,116,볼,,,,0,1,2,1,초,3,0,0,0,좌,우,,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,6,2,-1,20080524LTSK0
체인지업,김원형,가르시아,91848,78595,126,타격,포스 아웃,땅볼 아웃,가르시아 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃);,1,1,2,1,초,3,0,1,0,좌,우,,,,김원형,박경완,이호준,정경배,정근우,나주환,이진영,김강민,박재홍,,,,91848,92809,94629,96441,75808,73209,99810,71837,96362,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,6,3,-1,20080524LTSK0
슬라이더,손민한,이진영,97571,99810,129,볼,,,,0,0,0,1,말,3,0,0,0,좌,우,,,,손민한,강민호,박현승,조성환,이대호,박기혁,정수근,김주찬,가르시아,,,,97571,74540,95518,99543,71564,70553,95208,70410,78595,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,7,1,-1,20080524LTSK0
직구,손민한,이진영,97571,99810,139,스트라이크,,,,1,0,0,1,말,3,0,0,0,좌,우,,,,손민한,강민호,박현승,조성환,이대호,박기혁,정수근,김주찬,가르시아,,,,97571,74540,95518,99543,71564,70553,95208,70410,78595,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,7,2,-1,20080524LTSK0
체인지업,손민한,이진영,97571,99810,127,볼,,,,1,1,0,1,말,3,0,0,0,좌,우,,,,손민한,강민호,박현승,조성환,이대호,박기혁,정수근,김주찬,가르시아,,,,97571,74540,95518,99543,71564,70553,95208,70410,78595,,,,,,,,,,,,,,,,,,20080524,SK,LT,SSG,롯데,문학,윤상원,7,3,-1,20080524LTSK0
