pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
,윤석민,전준호,75620,91511,0,볼,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,1,1,-1,20080702WOHT0
,윤석민,전준호,75620,91511,0,타격,안타,안타,전준호 : 중견수 왼쪽 1루타;,1,0,0,1,초,0,0,0,0,좌,우,,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,1,2,-1,20080702WOHT0
,윤석민,정성훈,75620,99606,0,볼,,,,0,0,0,1,초,0,0,0,0,우,우,전준호,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,91511.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,2,1,-1,20080702WOHT0
,윤석민,정성훈,75620,99606,0,스트라이크,,,,1,0,0,1,초,0,0,0,0,우,우,전준호,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,91511.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,2,2,-1,20080702WOHT0
,윤석민,정성훈,75620,99606,0,볼,,,,1,1,0,1,초,0,0,0,0,우,우,전준호,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,91511.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,2,3,-1,20080702WOHT0
,윤석민,정성훈,75620,99606,0,파울,,,,2,1,0,1,초,0,0,0,0,우,우,전준호,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,91511.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,2,4,-1,20080702WOHT0
,윤석민,정성훈,75620,99606,0,볼,,,,2,2,0,1,초,0,0,0,0,우,우,전준호,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,91511.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,2,5,-1,20080702WOHT0
,윤석민,정성훈,75620,99606,0,파울,,,,3,2,0,1,초,0,0,0,0,우,우,전준호,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,91511.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,2,6,-1,20080702WOHT0
,윤석민,정성훈,75620,99606,0,타격,포스 아웃,땅볼 아웃,정성훈 : 2루수 앞 땅볼로 출루; 1루주자 전준호 :  포스아웃 (2루수->유격수 2루 터치아웃);,3,2,0,1,초,0,0,1,0,우,우,전준호,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,91511.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,2,7,-1,20080702WOHT0
,윤석민,이택근,75620,73342,0,볼,,,,0,0,1,1,초,0,0,0,0,우,우,정성훈,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,99606.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,3,1,-1,20080702WOHT0
,윤석민,이택근,75620,73342,0,타격,필드 아웃,플라이 아웃,이택근 : 유격수 플라이 아웃;,1,0,1,1,초,0,0,1,0,우,우,정성훈,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,99606.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,3,2,-1,20080702WOHT0
,윤석민,브룸바,75620,73324,0,볼,,,,0,0,2,1,초,0,0,0,0,우,우,정성훈,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,99606.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,4,1,-1,20080702WOHT0
,윤석민,브룸바,75620,73324,0,파울,,,,1,0,2,1,초,0,0,0,0,우,우,정성훈,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,99606.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,4,2,-1,20080702WOHT0
,윤석민,브룸바,75620,73324,0,스트라이크,,,,1,1,2,1,초,0,0,0,0,우,우,정성훈,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,99606.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,4,3,-1,20080702WOHT0
,윤석민,브룸바,75620,73324,0,볼,,,,1,2,2,1,초,0,0,0,0,우,우,정성훈,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,99606.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,4,4,-1,20080702WOHT0
,윤석민,브룸바,75620,73324,0,파울,,,,2,2,2,1,초,0,0,0,0,우,우,정성훈,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,99606.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,4,5,-1,20080702WOHT0
,윤석민,브룸바,75620,73324,0,볼,,,,2,2,2,1,초,0,0,0,0,우,우,정성훈,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,99606.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,4,6,-1,20080702WOHT0
,윤석민,브룸바,75620,73324,0,스트라이크,삼진,삼진,브룸바 :  삼진 아웃;,3,2,2,1,초,0,0,0,0,우,우,정성훈,,,윤석민,차일목,장성호,김종국,이현곤,김선빈,김원섭,이용규,채종범,99606.0,,,75620,73602,96610,96616,72606,78603,71207,74163,70833,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,4,7,-1,20080702WOHT0
,황두성,이용규,97423,74163,0,스트라이크,,,,0,0,0,1,말,0,0,0,0,좌,우,,,,황두성,김동수,이숭용,김일경,정성훈,강정호,전준호,이택근,송지만,,,,97423,90419,94310,97300,99606,76325,91511,73342,96761,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,5,1,-1,20080702WOHT0
,황두성,이용규,97423,74163,0,파울,,,,0,1,0,1,말,0,0,0,0,좌,우,,,,황두성,김동수,이숭용,김일경,정성훈,강정호,전준호,이택근,송지만,,,,97423,90419,94310,97300,99606,76325,91511,73342,96761,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,5,2,-1,20080702WOHT0
,황두성,이용규,97423,74163,0,볼,,,,0,2,0,1,말,0,0,0,0,좌,우,,,,황두성,김동수,이숭용,김일경,정성훈,강정호,전준호,이택근,송지만,,,,97423,90419,94310,97300,99606,76325,91511,73342,96761,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,5,3,-1,20080702WOHT0
,황두성,이용규,97423,74163,0,파울,,,,1,2,0,1,말,0,0,0,0,좌,우,,,,황두성,김동수,이숭용,김일경,정성훈,강정호,전준호,이택근,송지만,,,,97423,90419,94310,97300,99606,76325,91511,73342,96761,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,5,4,-1,20080702WOHT0
,황두성,이용규,97423,74163,0,볼,,,,1,2,0,1,말,0,0,0,0,좌,우,,,,황두성,김동수,이숭용,김일경,정성훈,강정호,전준호,이택근,송지만,,,,97423,90419,94310,97300,99606,76325,91511,73342,96761,,,,,,,,,,,,,,,,,,20080702,HT,WO,KIA,키움,무등,이민호,5,5,-1,20080702WOHT0
