pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
슬라이더,송진우,이진영,89770,99810,123,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,좌,,,,송진우,신경현,김태균,한상훈,이범호,김민재,연경흠,클락,추승우,,,,89770,98742,71752,73703,70756,91523,76743,78725,72139,,,,,,,,,,,,,,,,,,20080706,HH,SK,한화,SSG,한밭,문승훈,1,1,-1,20080706SKHH0
슬라이더,송진우,이진영,89770,99810,124,볼,,,,0,1,0,1,초,0,0,0,0,좌,좌,,,,송진우,신경현,김태균,한상훈,이범호,김민재,연경흠,클락,추승우,,,,89770,98742,71752,73703,70756,91523,76743,78725,72139,,,,,,,,,,,,,,,,,,20080706,HH,SK,한화,SSG,한밭,문승훈,1,2,-1,20080706SKHH0
직구,송진우,이진영,89770,99810,134,볼,,,,1,1,0,1,초,0,0,0,0,좌,좌,,,,송진우,신경현,김태균,한상훈,이범호,김민재,연경흠,클락,추승우,,,,89770,98742,71752,73703,70756,91523,76743,78725,72139,,,,,,,,,,,,,,,,,,20080706,HH,SK,한화,SSG,한밭,문승훈,1,3,-1,20080706SKHH0
직구,송진우,이진영,89770,99810,128,스트라이크,,,,2,1,0,1,초,0,0,0,0,좌,좌,,,,송진우,신경현,김태균,한상훈,이범호,김민재,연경흠,클락,추승우,,,,89770,98742,71752,73703,70756,91523,76743,78725,72139,,,,,,,,,,,,,,,,,,20080706,HH,SK,한화,SSG,한밭,문승훈,1,4,-1,20080706SKHH0
직구,송진우,이진영,89770,99810,126,타격,필드 아웃,플라이 아웃,이진영 : 좌익수 플라이 아웃;,2,2,0,1,초,0,0,1,0,좌,좌,,,,송진우,신경현,김태균,한상훈,이범호,김민재,연경흠,클락,추승우,,,,89770,98742,71752,73703,70756,91523,76743,78725,72139,,,,,,,,,,,,,,,,,,20080706,HH,SK,한화,SSG,한밭,문승훈,1,5,-1,20080706SKHH0
직구,송진우,정근우,89770,75808,127,스트라이크,,,,0,0,1,1,초,0,0,0,0,우,좌,,,,송진우,신경현,김태균,한상훈,이범호,김민재,연경흠,클락,추승우,,,,89770,98742,71752,73703,70756,91523,76743,78725,72139,,,,,,,,,,,,,,,,,,20080706,HH,SK,한화,SSG,한밭,문승훈,2,1,-1,20080706SKHH0
슬라이더,송진우,정근우,89770,75808,123,타격,포스 아웃,땅볼 아웃,정근우 : 투수 땅볼 아웃 (투수->2루수->1루수 송구아웃);,0,1,1,1,초,0,0,1,0,우,좌,,,,송진우,신경현,김태균,한상훈,이범호,김민재,연경흠,클락,추승우,,,,89770,98742,71752,73703,70756,91523,76743,78725,72139,,,,,,,,,,,,,,,,,,20080706,HH,SK,한화,SSG,한밭,문승훈,2,2,-1,20080706SKHH0
직구,송진우,이재원,89770,76812,126,스트라이크,,,,0,0,2,1,초,0,0,0,0,우,좌,,,,송진우,신경현,김태균,한상훈,이범호,김민재,연경흠,클락,추승우,,,,89770,98742,71752,73703,70756,91523,76743,78725,72139,,,,,,,,,,,,,,,,,,20080706,HH,SK,한화,SSG,한밭,문승훈,3,1,-1,20080706SKHH0
직구,송진우,이재원,89770,76812,133,볼,,,,0,1,2,1,초,0,0,0,0,우,좌,,,,송진우,신경현,김태균,한상훈,이범호,김민재,연경흠,클락,추승우,,,,89770,98742,71752,73703,70756,91523,76743,78725,72139,,,,,,,,,,,,,,,,,,20080706,HH,SK,한화,SSG,한밭,문승훈,3,2,-1,20080706SKHH0
체인지업,송진우,이재원,89770,76812,119,타격,필드 아웃,파울 플라이 아웃,이재원 : 포수 파울플라이 아웃;,1,1,2,1,초,0,0,1,0,우,좌,,,,송진우,신경현,김태균,한상훈,이범호,김민재,연경흠,클락,추승우,,,,89770,98742,71752,73703,70756,91523,76743,78725,72139,,,,,,,,,,,,,,,,,,20080706,HH,SK,한화,SSG,한밭,문승훈,3,3,-1,20080706SKHH0
