pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
,윤석민,김재호,75620,74206,0,타격,필드 아웃,플라이 아웃,김재호 : 1루수 플라이 아웃;,0,0,0,1,초,0,0,1,0,우,우,,,,윤석민,차일목,이영수,최용규,김형철,김선빈,나지완,이호신,유재원,,,,75620,73602,74650,78666,73827,78603,78629,77648,76656,,,,,,,,,,,,,,,,,,20081004,HT,OB,KIA,두산,무등,오석환,1,1,-1,20081004OBHT0
,윤석민,오재원,75620,77248,0,스트라이크,,,,0,0,1,1,초,0,0,0,0,좌,우,,,,윤석민,차일목,이영수,최용규,김형철,김선빈,나지완,이호신,유재원,,,,75620,73602,74650,78666,73827,78603,78629,77648,76656,,,,,,,,,,,,,,,,,,20081004,HT,OB,KIA,두산,무등,오석환,2,1,-1,20081004OBHT0
,윤석민,오재원,75620,77248,0,볼,,,,0,1,1,1,초,0,0,0,0,좌,우,,,,윤석민,차일목,이영수,최용규,김형철,김선빈,나지완,이호신,유재원,,,,75620,73602,74650,78666,73827,78603,78629,77648,76656,,,,,,,,,,,,,,,,,,20081004,HT,OB,KIA,두산,무등,오석환,2,2,-1,20081004OBHT0
,윤석민,오재원,75620,77248,0,파울,,,,1,1,1,1,초,0,0,0,0,좌,우,,,,윤석민,차일목,이영수,최용규,김형철,김선빈,나지완,이호신,유재원,,,,75620,73602,74650,78666,73827,78603,78629,77648,76656,,,,,,,,,,,,,,,,,,20081004,HT,OB,KIA,두산,무등,오석환,2,3,-1,20081004OBHT0
,윤석민,오재원,75620,77248,0,볼,,,,1,2,1,1,초,0,0,0,0,좌,우,,,,윤석민,차일목,이영수,최용규,김형철,김선빈,나지완,이호신,유재원,,,,75620,73602,74650,78666,73827,78603,78629,77648,76656,,,,,,,,,,,,,,,,,,20081004,HT,OB,KIA,두산,무등,오석환,2,4,-1,20081004OBHT0
,윤석민,오재원,75620,77248,0,헛스윙,삼진,삼진,오재원 :  삼진 아웃;,2,2,1,1,초,0,0,0,0,좌,우,,,,윤석민,차일목,이영수,최용규,김형철,김선빈,나지완,이호신,유재원,,,,75620,73602,74650,78666,73827,78603,78629,77648,76656,,,,,,,,,,,,,,,,,,20081004,HT,OB,KIA,두산,무등,오석환,2,5,-1,20081004OBHT0
,윤석민,유재웅,75620,72220,0,볼,,,,0,0,2,1,초,0,0,0,0,좌,우,,,,윤석민,차일목,이영수,최용규,김형철,김선빈,나지완,이호신,유재원,,,,75620,73602,74650,78666,73827,78603,78629,77648,76656,,,,,,,,,,,,,,,,,,20081004,HT,OB,KIA,두산,무등,오석환,3,1,-1,20081004OBHT0
,윤석민,유재웅,75620,72220,0,헛스윙,,,,1,0,2,1,초,0,0,0,0,좌,우,,,,윤석민,차일목,이영수,최용규,김형철,김선빈,나지완,이호신,유재원,,,,75620,73602,74650,78666,73827,78603,78629,77648,76656,,,,,,,,,,,,,,,,,,20081004,HT,OB,KIA,두산,무등,오석환,3,2,-1,20081004OBHT0
,윤석민,유재웅,75620,72220,0,타격,포스 아웃,땅볼 아웃,유재웅 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃);,1,1,2,1,초,0,0,1,0,좌,우,,,,윤석민,차일목,이영수,최용규,김형철,김선빈,나지완,이호신,유재원,,,,75620,73602,74650,78666,73827,78603,78629,77648,76656,,,,,,,,,,,,,,,,,,20081004,HT,OB,KIA,두산,무등,오석환,3,3,-1,20081004OBHT0
,박민석,유재원,78243,76656,0,볼,,,,0,0,0,1,말,0,0,0,0,우,우,,,,박민석,최승환,최준석,최주환,오재원,김재호,전상렬,이성열,유재웅,,,,78243,70122,71552,76267,77248,74206,91465,73136,72220,,,,,,,,,,,,,,,,,,20081004,HT,OB,KIA,두산,무등,오석환,4,1,-1,20081004OBHT0
