pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
슬라이더,김선우,이용규,78232,74163,127,볼,몸에 맞는 볼,몸에 맞는 볼,이용규 : 몸에 맞은 볼;,0,0,0,1,초,0,0,0,0,좌,우,,,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,1,1,-1,20090404HTOB0
직구,김선우,이종범,78232,93607,143,타격,안타,안타,이종범 : 좌익수 앞 1루타; 1루주자 이용규 :   2루까지 진루;,0,0,0,1,초,0,0,0,0,우,우,이용규,,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,74163.0,,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,2,1,-1,20090404HTOB0
직구,김선우,장성호,78232,96610,145,볼,,,,0,0,0,1,초,0,0,0,0,좌,우,이종범,이용규,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,93607.0,74163.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,3,1,-1,20090404HTOB0
커터,김선우,장성호,78232,96610,140,볼,,,,1,0,0,1,초,0,0,0,0,좌,우,이종범,이용규,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,93607.0,74163.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,3,2,-1,20090404HTOB0
직구,김선우,장성호,78232,96610,140,스트라이크,,,,2,0,0,1,초,0,0,0,0,좌,우,이종범,이용규,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,93607.0,74163.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,3,3,-1,20090404HTOB0
커터,김선우,장성호,78232,96610,140,헛스윙,,,,2,1,0,1,초,0,0,0,0,좌,우,이종범,이용규,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,93607.0,74163.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,3,4,-1,20090404HTOB0
커터,김선우,장성호,78232,96610,140,타격,내야안타,내야안타,장성호 : 2루수 왼쪽 내야안타; 1루주자 이종범 :   2루까지 진루; 2루주자 이용규 :  홈인;,2,2,0,1,초,0,0,0,1,좌,우,이종범,이용규,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,93607.0,74163.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,3,5,-1,20090404HTOB0
커브,김선우,최희섭,78232,77623,120,파울,,,,0,0,0,1,초,1,0,0,0,좌,우,장성호,이종범,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,96610.0,93607.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,4,1,-1,20090404HTOB0
체인지업,김선우,최희섭,78232,77623,130,볼,,,,0,1,0,1,초,1,0,0,0,좌,우,장성호,이종범,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,96610.0,93607.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,4,2,-1,20090404HTOB0
직구,김선우,최희섭,78232,77623,144,볼,,,,1,1,0,1,초,1,0,0,0,좌,우,장성호,이종범,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,96610.0,93607.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,4,3,-1,20090404HTOB0
직구,김선우,최희섭,78232,77623,140,파울,,,,2,1,0,1,초,1,0,0,0,좌,우,장성호,이종범,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,96610.0,93607.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,4,4,-1,20090404HTOB0
직구,김선우,최희섭,78232,77623,145,파울,,,,2,2,0,1,초,1,0,0,0,좌,우,장성호,이종범,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,96610.0,93607.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,4,5,-1,20090404HTOB0
직구,김선우,최희섭,78232,77623,146,파울,,,,2,2,0,1,초,1,0,0,0,좌,우,장성호,이종범,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,96610.0,93607.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,4,6,-1,20090404HTOB0
커브,김선우,최희섭,78232,77623,124,헛스윙,삼진,삼진,최희섭 :  삼진 아웃;,2,2,0,1,초,1,0,0,0,좌,우,장성호,이종범,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,96610.0,93607.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,4,7,-1,20090404HTOB0
직구,김선우,나지완,78232,78629,143,볼,,,,0,0,1,1,초,1,0,0,0,우,우,장성호,이종범,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,96610.0,93607.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,5,1,-1,20090404HTOB0
직구,김선우,나지완,78232,78629,140,타격,필드 아웃,파울 플라이 아웃,나지완 : 포수 파울플라이 아웃;,1,0,1,1,초,1,0,1,0,우,우,장성호,이종범,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,96610.0,93607.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,5,2,-1,20090404HTOB0
직구,김선우,이현곤,78232,72606,142,타격,필드 아웃,플라이 아웃,이현곤 : 중견수 플라이 아웃;,0,0,2,1,초,1,0,1,0,우,우,장성호,이종범,,김선우,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,96610.0,93607.0,,78232,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,6,1,-1,20090404HTOB0
직구,윤석민,이종욱,75620,73339,147,파울,,,,0,0,0,1,말,1,0,0,0,좌,우,,,,윤석민,김상훈,장성호,김종국,이현곤,김선빈,나지완,이용규,이종범,,,,75620,70612,96610,96616,72606,78603,78629,74163,93607,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,7,1,-1,20090404HTOB0
직구,윤석민,이종욱,75620,73339,145,볼,,,,0,1,0,1,말,1,0,0,0,좌,우,,,,윤석민,김상훈,장성호,김종국,이현곤,김선빈,나지완,이용규,이종범,,,,75620,70612,96610,96616,72606,78603,78629,74163,93607,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,7,2,-1,20090404HTOB0
직구,윤석민,이종욱,75620,73339,146,파울,,,,1,1,0,1,말,1,0,0,0,좌,우,,,,윤석민,김상훈,장성호,김종국,이현곤,김선빈,나지완,이용규,이종범,,,,75620,70612,96610,96616,72606,78603,78629,74163,93607,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,7,3,-1,20090404HTOB0
직구,윤석민,이종욱,75620,73339,151,파울,,,,1,2,0,1,말,1,0,0,0,좌,우,,,,윤석민,김상훈,장성호,김종국,이현곤,김선빈,나지완,이용규,이종범,,,,75620,70612,96610,96616,72606,78603,78629,74163,93607,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,7,4,-1,20090404HTOB0
슬라이더,윤석민,이종욱,75620,73339,141,볼,,,,1,2,0,1,말,1,0,0,0,좌,우,,,,윤석민,김상훈,장성호,김종국,이현곤,김선빈,나지완,이용규,이종범,,,,75620,70612,96610,96616,72606,78603,78629,74163,93607,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,7,5,-1,20090404HTOB0
직구,윤석민,이종욱,75620,73339,152,파울,,,,2,2,0,1,말,1,0,0,0,좌,우,,,,윤석민,김상훈,장성호,김종국,이현곤,김선빈,나지완,이용규,이종범,,,,75620,70612,96610,96616,72606,78603,78629,74163,93607,,,,,,,,,,,,,,,,,,20090404,OB,HT,두산,KIA,잠실,문승훈,7,6,-1,20090404HTOB0
