pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,봉중근,김주찬,77147,70410,141,볼,,,,0,0,0,1,초,0,0,0,0,우,좌,,,,봉중근,김정민,박병호,박경수,정성훈,권용관,안치용,이대형,이진영,,,,77147,93112,75125,73113,99606,95158,72161,73153,99810,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,1,1,-1,20090409LTLG0
직구,봉중근,김주찬,77147,70410,143,볼,,,,1,0,0,1,초,0,0,0,0,우,좌,,,,봉중근,김정민,박병호,박경수,정성훈,권용관,안치용,이대형,이진영,,,,77147,93112,75125,73113,99606,95158,72161,73153,99810,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,1,2,-1,20090409LTLG0
직구,봉중근,김주찬,77147,70410,141,스트라이크,,,,2,0,0,1,초,0,0,0,0,우,좌,,,,봉중근,김정민,박병호,박경수,정성훈,권용관,안치용,이대형,이진영,,,,77147,93112,75125,73113,99606,95158,72161,73153,99810,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,1,3,-1,20090409LTLG0
직구,봉중근,김주찬,77147,70410,142,볼,,,,2,1,0,1,초,0,0,0,0,우,좌,,,,봉중근,김정민,박병호,박경수,정성훈,권용관,안치용,이대형,이진영,,,,77147,93112,75125,73113,99606,95158,72161,73153,99810,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,1,4,-1,20090409LTLG0
직구,봉중근,김주찬,77147,70410,151,타격,필드 아웃,플라이 아웃,김주찬 : 유격수 플라이 아웃;,3,1,0,1,초,0,0,1,0,우,좌,,,,봉중근,김정민,박병호,박경수,정성훈,권용관,안치용,이대형,이진영,,,,77147,93112,75125,73113,99606,95158,72161,73153,99810,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,1,5,-1,20090409LTLG0
커브,봉중근,전준우,77147,78513,122,볼,,,,0,0,1,1,초,0,0,0,0,우,좌,,,,봉중근,김정민,박병호,박경수,정성훈,권용관,안치용,이대형,이진영,,,,77147,93112,75125,73113,99606,95158,72161,73153,99810,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,2,1,-1,20090409LTLG0
체인지업,봉중근,전준우,77147,78513,122,타격,필드 아웃,플라이 아웃,전준우 : 중견수 플라이 아웃;,1,0,1,1,초,0,0,1,0,우,좌,,,,봉중근,김정민,박병호,박경수,정성훈,권용관,안치용,이대형,이진영,,,,77147,93112,75125,73113,99606,95158,72161,73153,99810,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,2,2,-1,20090409LTLG0
커브,봉중근,조성환,77147,99543,121,볼,,,,0,0,2,1,초,0,0,0,0,우,좌,,,,봉중근,김정민,박병호,박경수,정성훈,권용관,안치용,이대형,이진영,,,,77147,93112,75125,73113,99606,95158,72161,73153,99810,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,3,1,-1,20090409LTLG0
직구,봉중근,조성환,77147,99543,141,타격,필드 아웃,파울 플라이 아웃,조성환 : 1루수 파울플라이 아웃;,1,0,2,1,초,0,0,1,0,우,좌,,,,봉중근,김정민,박병호,박경수,정성훈,권용관,안치용,이대형,이진영,,,,77147,93112,75125,73113,99606,95158,72161,73153,99810,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,3,2,-1,20090409LTLG0
직구,장원준,이진영,74513,99810,141,볼,,,,0,0,0,1,말,0,0,0,0,좌,좌,,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,4,1,-1,20090409LTLG0
직구,장원준,이진영,74513,99810,142,스트라이크,,,,1,0,0,1,말,0,0,0,0,좌,좌,,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,4,2,-1,20090409LTLG0
직구,장원준,이진영,74513,99810,139,스트라이크,,,,1,1,0,1,말,0,0,0,0,좌,좌,,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,4,3,-1,20090409LTLG0
체인지업,장원준,이진영,74513,99810,134,볼,,,,1,2,0,1,말,0,0,0,0,좌,좌,,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,4,4,-1,20090409LTLG0
직구,장원준,이진영,74513,99810,140,파울,,,,2,2,0,1,말,0,0,0,0,좌,좌,,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,4,5,-1,20090409LTLG0
직구,장원준,이진영,74513,99810,144,파울,,,,2,2,0,1,말,0,0,0,0,좌,좌,,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,4,6,-1,20090409LTLG0
슬라이더,장원준,이진영,74513,99810,134,파울,,,,2,2,0,1,말,0,0,0,0,좌,좌,,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,4,7,-1,20090409LTLG0
슬라이더,장원준,이진영,74513,99810,134,파울,,,,2,2,0,1,말,0,0,0,0,좌,좌,,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,4,8,-1,20090409LTLG0
커브,장원준,이진영,74513,99810,120,타격,포스 아웃,땅볼 아웃,이진영 : 1루수 땅볼 아웃 (1루수 1루 터치아웃);,2,2,0,1,말,0,0,1,0,좌,좌,,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,4,9,-1,20090409LTLG0
직구,장원준,이대형,74513,73153,144,타격,안타,안타,이대형 : 좌익수 왼쪽 1루타;,0,0,1,1,말,0,0,0,0,좌,좌,,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,5,1,-1,20090409LTLG0
직구,장원준,안치용,74513,72161,142,볼,,,,0,0,1,1,말,0,0,0,0,우,좌,이대형,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,73153.0,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,6,1,-1,20090409LTLG0
직구,장원준,안치용,74513,72161,141,타격,필드 아웃,플라이 아웃,안치용 : 우익수 플라이 아웃;,1,0,1,1,말,0,0,1,0,우,좌,이대형,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,73153.0,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,6,2,-1,20090409LTLG0
직구,장원준,페타지니,74513,78129,141,헛스윙,,,,0,0,2,1,말,0,0,0,0,좌,좌,이대형,,,장원준,강민호,김주찬,조성환,이대호,박기혁,손아섭,전준우,가르시아,73153.0,,,74513,74540,70410,99543,71564,70553,77532,78513,78595,,,,,,,,,,,,,,,,,,20090409,LG,LT,LG,롯데,잠실,오훈규,7,1,-1,20090409LTLG0
