pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
,곽정철,박재상,75668,71857,0,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,1,1,-1,20090409SKHT0
,곽정철,박재상,75668,71857,0,파울,,,,0,1,0,1,초,0,0,0,0,좌,우,,,,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,1,2,-1,20090409SKHT0
,곽정철,박재상,75668,71857,0,볼,,,,0,2,0,1,초,0,0,0,0,좌,우,,,,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,1,3,-1,20090409SKHT0
,곽정철,박재상,75668,71857,0,볼,,,,1,2,0,1,초,0,0,0,0,좌,우,,,,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,1,4,-1,20090409SKHT0
,곽정철,박재상,75668,71857,0,볼,,,,2,2,0,1,초,0,0,0,0,좌,우,,,,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,1,5,-1,20090409SKHT0
,곽정철,박재상,75668,71857,0,볼,볼넷,볼넷,박재상 :  볼넷;,3,2,0,1,초,0,0,0,0,좌,우,,,,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,1,6,-1,20090409SKHT0
,곽정철,조동화,75668,71848,0,볼,,,,0,0,0,1,초,0,0,0,0,좌,우,박재상,,,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,71857.0,,,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,2,1,-1,20090409SKHT0
,곽정철,조동화,75668,71848,0,타격,번트 안타,번트 안타,조동화 : 3루수 앞 번트안타; 1루주자 박재상 :   2루까지 진루;,1,0,0,1,초,0,0,0,0,좌,우,박재상,,,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,71857.0,,,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,2,2,-1,20090409SKHT0
,곽정철,김재현,75668,94107,0,볼,,,,0,0,0,1,초,0,0,0,0,좌,우,조동화,박재상,,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,71848.0,71857.0,,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,3,1,-1,20090409SKHT0
,곽정철,김재현,75668,94107,0,타격,병살타,병살타,김재현 : 2루수 병살타 아웃 (2루수->유격수->1루수 송구아웃); 1루주자 조동화 :  포스아웃 (2루수->유격수 2루 터치아웃); 2루주자 박재상 :   3루까지 진루;,1,0,0,1,초,0,0,2,0,좌,우,조동화,박재상,,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,71848.0,71857.0,,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,3,2,-1,20090409SKHT0
,곽정철,박재홍,75668,96362,0,볼,,,,0,0,2,1,초,0,0,0,0,우,우,,,박재상,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,,,71857.0,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,4,1,-1,20090409SKHT0
,곽정철,박재홍,75668,96362,0,스트라이크,,,,1,0,2,1,초,0,0,0,0,우,우,,,박재상,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,,,71857.0,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,4,2,-1,20090409SKHT0
,곽정철,박재홍,75668,96362,0,볼,,,,1,1,2,1,초,0,0,0,0,우,우,,,박재상,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,,,71857.0,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,4,3,-1,20090409SKHT0
,곽정철,박재홍,75668,96362,0,스트라이크,,,,2,1,2,1,초,0,0,0,0,우,우,,,박재상,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,,,71857.0,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,4,4,-1,20090409SKHT0
,곽정철,박재홍,75668,96362,0,타격,포스 아웃,땅볼 아웃,박재홍 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃);,2,2,2,1,초,0,0,1,0,우,우,,,박재상,곽정철,김상훈,최희섭,김종국,안치홍,이현곤,나지완,김원섭,이종범,,,71857.0,75668,70612,77623,96616,79608,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,4,5,-1,20090409SKHT0
,채병용,이종범,71845,93607,0,볼,,,,0,0,0,1,말,0,0,0,0,우,우,,,,채병용,박경완,박정권,안경현,최정,모창민,박재상,조동화,박재홍,,,,71845,92809,74846,92207,75847,78813,71857,71848,96362,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,5,1,-1,20090409SKHT0
,채병용,이종범,71845,93607,0,파울,,,,1,0,0,1,말,0,0,0,0,우,우,,,,채병용,박경완,박정권,안경현,최정,모창민,박재상,조동화,박재홍,,,,71845,92809,74846,92207,75847,78813,71857,71848,96362,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,5,2,-1,20090409SKHT0
,채병용,이종범,71845,93607,0,파울,,,,1,1,0,1,말,0,0,0,0,우,우,,,,채병용,박경완,박정권,안경현,최정,모창민,박재상,조동화,박재홍,,,,71845,92809,74846,92207,75847,78813,71857,71848,96362,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,5,3,-1,20090409SKHT0
,채병용,이종범,71845,93607,0,타격,필드 아웃,플라이 아웃,이종범 : 중견수 플라이 아웃;,1,2,0,1,말,0,0,1,0,우,우,,,,채병용,박경완,박정권,안경현,최정,모창민,박재상,조동화,박재홍,,,,71845,92809,74846,92207,75847,78813,71857,71848,96362,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,5,4,-1,20090409SKHT0
,채병용,김원섭,71845,71207,0,스트라이크,,,,0,0,1,1,말,0,0,0,0,좌,우,,,,채병용,박경완,박정권,안경현,최정,모창민,박재상,조동화,박재홍,,,,71845,92809,74846,92207,75847,78813,71857,71848,96362,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,6,1,-1,20090409SKHT0
,채병용,김원섭,71845,71207,0,스트라이크,,,,0,1,1,1,말,0,0,0,0,좌,우,,,,채병용,박경완,박정권,안경현,최정,모창민,박재상,조동화,박재홍,,,,71845,92809,74846,92207,75847,78813,71857,71848,96362,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,6,2,-1,20090409SKHT0
,채병용,김원섭,71845,71207,0,타격,포스 아웃,땅볼 아웃,김원섭 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃);,0,2,1,1,말,0,0,1,0,좌,우,,,,채병용,박경완,박정권,안경현,최정,모창민,박재상,조동화,박재홍,,,,71845,92809,74846,92207,75847,78813,71857,71848,96362,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,6,3,-1,20090409SKHT0
,채병용,장성호,71845,96610,0,스트라이크,,,,0,0,2,1,말,0,0,0,0,좌,우,,,,채병용,박경완,박정권,안경현,최정,모창민,박재상,조동화,박재홍,,,,71845,92809,74846,92207,75847,78813,71857,71848,96362,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,7,1,-1,20090409SKHT0
,채병용,장성호,71845,96610,0,볼,,,,0,1,2,1,말,0,0,0,0,좌,우,,,,채병용,박경완,박정권,안경현,최정,모창민,박재상,조동화,박재홍,,,,71845,92809,74846,92207,75847,78813,71857,71848,96362,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,7,2,-1,20090409SKHT0
,채병용,장성호,71845,96610,0,볼,,,,1,1,2,1,말,0,0,0,0,좌,우,,,,채병용,박경완,박정권,안경현,최정,모창민,박재상,조동화,박재홍,,,,71845,92809,74846,92207,75847,78813,71857,71848,96362,,,,,,,,,,,,,,,,,,20090409,HT,SK,KIA,SSG,무등,권영철,7,3,-1,20090409SKHT0
