pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
커브,마일영,김상수,70329,79402,107,볼,,,,0,0,0,1,초,0,0,0,0,우,좌,,,,마일영,강귀태,이숭용,김일경,황재균,강정호,송지만,이택근,클락,,,,70329,72312,94310,97300,76313,76325,96761,73342,78725,,,,,,,,,,,,,,,,,,20090409,WO,SS,키움,삼성,목동,이기중,1,1,-1,20090409SSWO0
직구,마일영,김상수,70329,79402,138,스트라이크,,,,1,0,0,1,초,0,0,0,0,우,좌,,,,마일영,강귀태,이숭용,김일경,황재균,강정호,송지만,이택근,클락,,,,70329,72312,94310,97300,76313,76325,96761,73342,78725,,,,,,,,,,,,,,,,,,20090409,WO,SS,키움,삼성,목동,이기중,1,2,-1,20090409SSWO0
직구,마일영,김상수,70329,79402,136,타격,2루타,2루타,김상수 : 좌익수 왼쪽 2루타;,1,1,0,1,초,0,0,0,0,우,좌,,,,마일영,강귀태,이숭용,김일경,황재균,강정호,송지만,이택근,클락,,,,70329,72312,94310,97300,76313,76325,96761,73342,78725,,,,,,,,,,,,,,,,,,20090409,WO,SS,키움,삼성,목동,이기중,1,3,-1,20090409SSWO0
직구,마일영,강봉규,70329,70224,140,스트라이크,,,,0,0,0,1,초,0,0,0,0,우,좌,,김상수,,마일영,강귀태,이숭용,김일경,황재균,강정호,송지만,이택근,클락,,79402.0,,70329,72312,94310,97300,76313,76325,96761,73342,78725,,,,,,,,,,,,,,,,,,20090409,WO,SS,키움,삼성,목동,이기중,2,1,-1,20090409SSWO0
직구,마일영,강봉규,70329,70224,138,타격,안타,안타,강봉규 : 우익수 오른쪽 1루타; 2루주자 김상수 :  홈인;,0,1,0,1,초,0,0,0,1,우,좌,,김상수,,마일영,강귀태,이숭용,김일경,황재균,강정호,송지만,이택근,클락,,79402.0,,70329,72312,94310,97300,76313,76325,96761,73342,78725,,,,,,,,,,,,,,,,,,20090409,WO,SS,키움,삼성,목동,이기중,2,2,-1,20090409SSWO0
직구,마일영,양준혁,70329,93410,136,볼,,,,0,0,0,1,초,1,0,0,0,좌,좌,강봉규,,,마일영,강귀태,이숭용,김일경,황재균,강정호,송지만,이택근,클락,70224.0,,,70329,72312,94310,97300,76313,76325,96761,73342,78725,,,,,,,,,,,,,,,,,,20090409,WO,SS,키움,삼성,목동,이기중,3,1,-1,20090409SSWO0
직구,마일영,양준혁,70329,93410,137,볼,,,,1,0,0,1,초,1,0,0,0,좌,좌,강봉규,,,마일영,강귀태,이숭용,김일경,황재균,강정호,송지만,이택근,클락,70224.0,,,70329,72312,94310,97300,76313,76325,96761,73342,78725,,,,,,,,,,,,,,,,,,20090409,WO,SS,키움,삼성,목동,이기중,3,2,-1,20090409SSWO0
직구,마일영,양준혁,70329,93410,137,볼,,,,2,0,0,1,초,1,0,0,0,좌,좌,강봉규,,,마일영,강귀태,이숭용,김일경,황재균,강정호,송지만,이택근,클락,70224.0,,,70329,72312,94310,97300,76313,76325,96761,73342,78725,,,,,,,,,,,,,,,,,,20090409,WO,SS,키움,삼성,목동,이기중,3,3,-1,20090409SSWO0
직구,마일영,양준혁,70329,93410,136,스트라이크,,,,3,0,0,1,초,1,0,0,0,좌,좌,강봉규,,,마일영,강귀태,이숭용,김일경,황재균,강정호,송지만,이택근,클락,70224.0,,,70329,72312,94310,97300,76313,76325,96761,73342,78725,,,,,,,,,,,,,,,,,,20090409,WO,SS,키움,삼성,목동,이기중,3,4,-1,20090409SSWO0
슬라이더,마일영,양준혁,70329,93410,127,볼,볼넷,볼넷,양준혁 :  볼넷; 1루주자 강봉규 :   2루까지 진루;,3,1,0,1,초,1,0,0,0,좌,좌,강봉규,,,마일영,강귀태,이숭용,김일경,황재균,강정호,송지만,이택근,클락,70224.0,,,70329,72312,94310,97300,76313,76325,96761,73342,78725,,,,,,,,,,,,,,,,,,20090409,WO,SS,키움,삼성,목동,이기중,3,5,-1,20090409SSWO0
커브,마일영,박석민,70329,74465,108,볼,,,,0,0,0,1,초,1,0,0,0,우,좌,양준혁,강봉규,,마일영,강귀태,이숭용,김일경,황재균,강정호,송지만,이택근,클락,93410.0,70224.0,,70329,72312,94310,97300,76313,76325,96761,73342,78725,,,,,,,,,,,,,,,,,,20090409,WO,SS,키움,삼성,목동,이기중,4,1,-1,20090409SSWO0
