pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
,이용훈,이대형,70434,73153,0,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,이용훈,강민호,김주찬,김민성,이대호,박기혁,이인구,이승화,가르시아,,,,70434,74540,70410,77564,71564,70553,73563,71565,78595,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,1,1,-1,20090424LGLT0
,이용훈,이대형,70434,73153,0,볼,,,,0,1,0,1,초,0,0,0,0,좌,우,,,,이용훈,강민호,김주찬,김민성,이대호,박기혁,이인구,이승화,가르시아,,,,70434,74540,70410,77564,71564,70553,73563,71565,78595,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,1,2,-1,20090424LGLT0
,이용훈,이대형,70434,73153,0,볼,,,,1,1,0,1,초,0,0,0,0,좌,우,,,,이용훈,강민호,김주찬,김민성,이대호,박기혁,이인구,이승화,가르시아,,,,70434,74540,70410,77564,71564,70553,73563,71565,78595,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,1,3,-1,20090424LGLT0
,이용훈,이대형,70434,73153,0,타격,안타,안타,이대형 : 우익수 앞 1루타;,2,1,0,1,초,0,0,0,0,좌,우,,,,이용훈,강민호,김주찬,김민성,이대호,박기혁,이인구,이승화,가르시아,,,,70434,74540,70410,77564,71564,70553,73563,71565,78595,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,1,4,-1,20090424LGLT0
,이용훈,박경수,70434,73113,0,타격,병살타,병살타,박경수 : 2루수 병살타 아웃 (2루수->유격수->1루수 송구아웃); 1루주자 이대형 :  포스아웃 (2루수->유격수 2루 터치아웃);,0,0,0,1,초,0,0,2,0,우,우,이대형,,,이용훈,강민호,김주찬,김민성,이대호,박기혁,이인구,이승화,가르시아,73153.0,,,70434,74540,70410,77564,71564,70553,73563,71565,78595,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,2,1,-1,20090424LGLT0
,이용훈,안치용,70434,72161,0,파울,,,,0,0,2,1,초,0,0,0,0,우,우,,,,이용훈,강민호,김주찬,김민성,이대호,박기혁,이인구,이승화,가르시아,,,,70434,74540,70410,77564,71564,70553,73563,71565,78595,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,3,1,-1,20090424LGLT0
,이용훈,안치용,70434,72161,0,볼,,,,0,1,2,1,초,0,0,0,0,우,우,,,,이용훈,강민호,김주찬,김민성,이대호,박기혁,이인구,이승화,가르시아,,,,70434,74540,70410,77564,71564,70553,73563,71565,78595,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,3,2,-1,20090424LGLT0
,이용훈,안치용,70434,72161,0,볼,,,,1,1,2,1,초,0,0,0,0,우,우,,,,이용훈,강민호,김주찬,김민성,이대호,박기혁,이인구,이승화,가르시아,,,,70434,74540,70410,77564,71564,70553,73563,71565,78595,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,3,3,-1,20090424LGLT0
,이용훈,안치용,70434,72161,0,파울,,,,2,1,2,1,초,0,0,0,0,우,우,,,,이용훈,강민호,김주찬,김민성,이대호,박기혁,이인구,이승화,가르시아,,,,70434,74540,70410,77564,71564,70553,73563,71565,78595,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,3,4,-1,20090424LGLT0
,이용훈,안치용,70434,72161,0,타격,필드 아웃,플라이 아웃,안치용 : 좌익수 플라이 아웃;,2,2,2,1,초,0,0,1,0,우,우,,,,이용훈,강민호,김주찬,김민성,이대호,박기혁,이인구,이승화,가르시아,,,,70434,74540,70410,77564,71564,70553,73563,71565,78595,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,3,5,-1,20090424LGLT0
,이범준,이인구,78119,73563,0,스트라이크,,,,0,0,0,1,말,0,0,0,0,좌,우,,,,이범준,조인성,최동수,박경수,정성훈,권용관,안치용,이대형,손인호,,,,78119,98144,94132,73113,99606,95158,72161,73153,98538,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,4,1,-1,20090424LGLT0
,이범준,이인구,78119,73563,0,볼,,,,0,1,0,1,말,0,0,0,0,좌,우,,,,이범준,조인성,최동수,박경수,정성훈,권용관,안치용,이대형,손인호,,,,78119,98144,94132,73113,99606,95158,72161,73153,98538,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,4,2,-1,20090424LGLT0
,이범준,이인구,78119,73563,0,타격,2루타,2루타,이인구 : 우익수 뒤 2루타;,1,1,0,1,말,0,0,0,0,좌,우,,,,이범준,조인성,최동수,박경수,정성훈,권용관,안치용,이대형,손인호,,,,78119,98144,94132,73113,99606,95158,72161,73153,98538,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,4,3,-1,20090424LGLT0
,이범준,김민성,78119,77564,0,볼,,,,0,0,0,1,말,0,0,0,0,우,우,,이인구,,이범준,조인성,최동수,박경수,정성훈,권용관,안치용,이대형,손인호,,73563.0,,78119,98144,94132,73113,99606,95158,72161,73153,98538,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,5,1,-1,20090424LGLT0
,이범준,김민성,78119,77564,0,볼,,,,1,0,0,1,말,0,0,0,0,우,우,,이인구,,이범준,조인성,최동수,박경수,정성훈,권용관,안치용,이대형,손인호,,73563.0,,78119,98144,94132,73113,99606,95158,72161,73153,98538,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,5,2,-1,20090424LGLT0
,이범준,김민성,78119,77564,0,타격,희생번트,희생번트,김민성 : 투수 희생번트 아웃 (투수->2루수 1루 터치아웃); 2루주자 이인구 :   3루까지 진루;,2,0,0,1,말,0,0,1,0,우,우,,이인구,,이범준,조인성,최동수,박경수,정성훈,권용관,안치용,이대형,손인호,,73563.0,,78119,98144,94132,73113,99606,95158,72161,73153,98538,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,5,3,-1,20090424LGLT0
,이범준,김주찬,78119,70410,0,헛스윙,,,,0,0,1,1,말,0,0,0,0,우,우,,,이인구,이범준,조인성,최동수,박경수,정성훈,권용관,안치용,이대형,손인호,,,73563.0,78119,98144,94132,73113,99606,95158,72161,73153,98538,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,6,1,-1,20090424LGLT0
,이범준,김주찬,78119,70410,0,볼,,,,0,1,1,1,말,0,0,0,0,우,우,,,이인구,이범준,조인성,최동수,박경수,정성훈,권용관,안치용,이대형,손인호,,,73563.0,78119,98144,94132,73113,99606,95158,72161,73153,98538,,,,,,,,,,,,,,,,,,20090424,LT,LG,롯데,LG,사직,전일수,6,2,-1,20090424LGLT0
