pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,정재훈,박용택,73241,72133,140,파울,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,,,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,1,1,-1,20090505LGOB0
직구,정재훈,박용택,73241,72133,141,타격,2루타,2루타,박용택 : 좌익수 뒤 2루타;,0,1,0,1,초,0,0,0,0,좌,우,,,,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,,,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,1,2,-1,20090505LGOB0
체인지업,정재훈,이대형,73241,73153,127,파울,,,,0,0,0,1,초,0,0,0,0,좌,우,,박용택,,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,72133.0,,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,2,1,-1,20090505LGOB0
체인지업,정재훈,이대형,73241,73153,126,번트파울,,,,0,1,0,1,초,0,0,0,0,좌,우,,박용택,,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,72133.0,,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,2,2,-1,20090505LGOB0
직구,정재훈,이대형,73241,73153,137,볼,,,,0,2,0,1,초,0,0,0,0,좌,우,,박용택,,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,72133.0,,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,2,3,-1,20090505LGOB0
체인지업,정재훈,이대형,73241,73153,127,파울,,,,1,2,0,1,초,0,0,0,0,좌,우,,박용택,,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,72133.0,,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,2,4,-1,20090505LGOB0
커브,정재훈,이대형,73241,73153,119,볼,,,,1,2,0,1,초,0,0,0,0,좌,우,,박용택,,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,72133.0,,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,2,5,-1,20090505LGOB0
직구,정재훈,이대형,73241,73153,140,볼,,,,2,2,0,1,초,0,0,0,0,좌,우,,박용택,,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,72133.0,,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,2,6,-1,20090505LGOB0
직구,정재훈,이대형,73241,73153,140,볼,볼넷,볼넷,이대형 :  볼넷;,3,2,0,1,초,0,0,0,0,좌,우,,박용택,,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,72133.0,,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,2,7,-1,20090505LGOB0
직구,정재훈,정성훈,73241,99606,138,타격,포스 아웃,땅볼 아웃,정성훈 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃); 1루주자 이대형 :   2루까지 진루; 2루주자 박용택 :   3루까지 진루;,0,0,0,1,초,0,0,1,0,우,우,이대형,박용택,,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,73153.0,72133.0,,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,3,1,-1,20090505LGOB0
포크,정재훈,페타지니,73241,78129,127,헛스윙,,,,0,0,1,1,초,0,0,0,0,좌,우,,이대형,박용택,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,73153.0,72133.0,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,4,1,-1,20090505LGOB0
직구,정재훈,페타지니,73241,78129,135,볼,,,,0,1,1,1,초,0,0,0,0,좌,우,,이대형,박용택,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,73153.0,72133.0,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,4,2,-1,20090505LGOB0
직구,정재훈,페타지니,73241,78129,140,파울,,,,1,1,1,1,초,0,0,0,0,좌,우,,이대형,박용택,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,73153.0,72133.0,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,4,3,-1,20090505LGOB0
직구,정재훈,페타지니,73241,78129,137,볼,,,,1,2,1,1,초,0,0,0,0,좌,우,,이대형,박용택,정재훈,최승환,오재원,고영민,김동주,손시헌,김현수,이종욱,임재철,,73153.0,72133.0,73241,70122,77248,72214,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090505,OB,LG,두산,LG,잠실,박종철,4,4,-1,20090505LGOB0
