pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,장원준,최정,74513,75847,140,볼,,,,0,0,0,1,초,0,0,0,0,우,좌,,,,장원준,최기문,김주찬,박남섭,이대호,김민성,이인구,이승화,박정준,,,,74513,96224,70410,71815,71564,77564,73563,71565,73543,,,,,,,,,,,,,,,,,,20090507,LT,SK,롯데,SSG,사직,원현식,1,1,-1,20090507SKLT0
직구,장원준,최정,74513,75847,141,타격,홈런,홈런,최정 : 좌중간 홈런(홈런거리:120M);,1,0,0,1,초,0,0,0,1,우,좌,,,,장원준,최기문,김주찬,박남섭,이대호,김민성,이인구,이승화,박정준,,,,74513,96224,70410,71815,71564,77564,73563,71565,73543,,,,,,,,,,,,,,,,,,20090507,LT,SK,롯데,SSG,사직,원현식,1,2,-1,20090507SKLT0
직구,장원준,박재상,74513,71857,139,볼,,,,0,0,0,1,초,1,0,0,0,좌,좌,,,,장원준,최기문,김주찬,박남섭,이대호,김민성,이인구,이승화,박정준,,,,74513,96224,70410,71815,71564,77564,73563,71565,73543,,,,,,,,,,,,,,,,,,20090507,LT,SK,롯데,SSG,사직,원현식,2,1,-1,20090507SKLT0
직구,장원준,박재상,74513,71857,139,볼,,,,1,0,0,1,초,1,0,0,0,좌,좌,,,,장원준,최기문,김주찬,박남섭,이대호,김민성,이인구,이승화,박정준,,,,74513,96224,70410,71815,71564,77564,73563,71565,73543,,,,,,,,,,,,,,,,,,20090507,LT,SK,롯데,SSG,사직,원현식,2,2,-1,20090507SKLT0
슬라이더,장원준,박재상,74513,71857,126,타격,포스 아웃,땅볼 아웃,박재상 : 1루수 땅볼 아웃 (1루수 1루 터치아웃);,2,0,0,1,초,1,0,1,0,좌,좌,,,,장원준,최기문,김주찬,박남섭,이대호,김민성,이인구,이승화,박정준,,,,74513,96224,70410,71815,71564,77564,73563,71565,73543,,,,,,,,,,,,,,,,,,20090507,LT,SK,롯데,SSG,사직,원현식,2,3,-1,20090507SKLT0
직구,장원준,박경완,74513,92809,135,볼,,,,0,0,1,1,초,1,0,0,0,우,좌,,,,장원준,최기문,김주찬,박남섭,이대호,김민성,이인구,이승화,박정준,,,,74513,96224,70410,71815,71564,77564,73563,71565,73543,,,,,,,,,,,,,,,,,,20090507,LT,SK,롯데,SSG,사직,원현식,3,1,-1,20090507SKLT0
슬라이더,장원준,박경완,74513,92809,125,스트라이크,,,,1,0,1,1,초,1,0,0,0,우,좌,,,,장원준,최기문,김주찬,박남섭,이대호,김민성,이인구,이승화,박정준,,,,74513,96224,70410,71815,71564,77564,73563,71565,73543,,,,,,,,,,,,,,,,,,20090507,LT,SK,롯데,SSG,사직,원현식,3,2,-1,20090507SKLT0
직구,장원준,박경완,74513,92809,133,볼,,,,1,1,1,1,초,1,0,0,0,우,좌,,,,장원준,최기문,김주찬,박남섭,이대호,김민성,이인구,이승화,박정준,,,,74513,96224,70410,71815,71564,77564,73563,71565,73543,,,,,,,,,,,,,,,,,,20090507,LT,SK,롯데,SSG,사직,원현식,3,3,-1,20090507SKLT0
직구,장원준,박경완,74513,92809,139,헛스윙,,,,2,1,1,1,초,1,0,0,0,우,좌,,,,장원준,최기문,김주찬,박남섭,이대호,김민성,이인구,이승화,박정준,,,,74513,96224,70410,71815,71564,77564,73563,71565,73543,,,,,,,,,,,,,,,,,,20090507,LT,SK,롯데,SSG,사직,원현식,3,4,-1,20090507SKLT0
슬라이더,장원준,박경완,74513,92809,127,볼,,,,2,2,1,1,초,1,0,0,0,우,좌,,,,장원준,최기문,김주찬,박남섭,이대호,김민성,이인구,이승화,박정준,,,,74513,96224,70410,71815,71564,77564,73563,71565,73543,,,,,,,,,,,,,,,,,,20090507,LT,SK,롯데,SSG,사직,원현식,3,5,-1,20090507SKLT0
체인지업,장원준,박경완,74513,92809,132,파울,,,,3,2,1,1,초,1,0,0,0,우,좌,,,,장원준,최기문,김주찬,박남섭,이대호,김민성,이인구,이승화,박정준,,,,74513,96224,70410,71815,71564,77564,73563,71565,73543,,,,,,,,,,,,,,,,,,20090507,LT,SK,롯데,SSG,사직,원현식,3,6,-1,20090507SKLT0
