pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
체인지업,김성현,김주찬,78353,70410,125,스트라이크,,,,0,0,0,1,초,0,0,0,0,우,우,,,,김성현,김동수,이숭용,김일경,황재균,강정호,클락,이택근,송지만,,,,78353,90419,94310,97300,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090531,WO,LT,키움,롯데,목동,윤상원,1,1,-1,20090531LTWO0
직구,김성현,김주찬,78353,70410,143,볼,,,,0,1,0,1,초,0,0,0,0,우,우,,,,김성현,김동수,이숭용,김일경,황재균,강정호,클락,이택근,송지만,,,,78353,90419,94310,97300,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090531,WO,LT,키움,롯데,목동,윤상원,1,2,-1,20090531LTWO0
체인지업,김성현,김주찬,78353,70410,131,헛스윙,,,,1,1,0,1,초,0,0,0,0,우,우,,,,김성현,김동수,이숭용,김일경,황재균,강정호,클락,이택근,송지만,,,,78353,90419,94310,97300,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090531,WO,LT,키움,롯데,목동,윤상원,1,3,-1,20090531LTWO0
슬라이더,김성현,김주찬,78353,70410,129,타격,필드 아웃,플라이 아웃,김주찬 : 우익수 플라이 아웃;,1,2,0,1,초,0,0,1,0,우,우,,,,김성현,김동수,이숭용,김일경,황재균,강정호,클락,이택근,송지만,,,,78353,90419,94310,97300,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090531,WO,LT,키움,롯데,목동,윤상원,1,4,-1,20090531LTWO0
직구,김성현,박정준,78353,73543,144,스트라이크,,,,0,0,1,1,초,0,0,0,0,좌,우,,,,김성현,김동수,이숭용,김일경,황재균,강정호,클락,이택근,송지만,,,,78353,90419,94310,97300,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090531,WO,LT,키움,롯데,목동,윤상원,2,1,-1,20090531LTWO0
커브,김성현,박정준,78353,73543,119,볼,,,,0,1,1,1,초,0,0,0,0,좌,우,,,,김성현,김동수,이숭용,김일경,황재균,강정호,클락,이택근,송지만,,,,78353,90419,94310,97300,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090531,WO,LT,키움,롯데,목동,윤상원,2,2,-1,20090531LTWO0
직구,김성현,박정준,78353,73543,142,볼,,,,1,1,1,1,초,0,0,0,0,좌,우,,,,김성현,김동수,이숭용,김일경,황재균,강정호,클락,이택근,송지만,,,,78353,90419,94310,97300,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090531,WO,LT,키움,롯데,목동,윤상원,2,3,-1,20090531LTWO0
직구,김성현,박정준,78353,73543,144,스트라이크,,,,2,1,1,1,초,0,0,0,0,좌,우,,,,김성현,김동수,이숭용,김일경,황재균,강정호,클락,이택근,송지만,,,,78353,90419,94310,97300,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090531,WO,LT,키움,롯데,목동,윤상원,2,4,-1,20090531LTWO0
직구,김성현,박정준,78353,73543,137,헛스윙,삼진,삼진,박정준 :  삼진 아웃;,2,2,1,1,초,0,0,0,0,좌,우,,,,김성현,김동수,이숭용,김일경,황재균,강정호,클락,이택근,송지만,,,,78353,90419,94310,97300,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090531,WO,LT,키움,롯데,목동,윤상원,2,5,-1,20090531LTWO0
체인지업,김성현,이인구,78353,73563,132,스트라이크,,,,0,0,2,1,초,0,0,0,0,좌,우,,,,김성현,김동수,이숭용,김일경,황재균,강정호,클락,이택근,송지만,,,,78353,90419,94310,97300,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090531,WO,LT,키움,롯데,목동,윤상원,3,1,-1,20090531LTWO0
