pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,곽정철,박한이,75668,71432,148,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,곽정철,김상훈,최희섭,김종국,김상현,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,70646,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,1,1,-1,20090605SSHT0
직구,곽정철,박한이,75668,71432,151,타격,필드 아웃,라인드라이브 아웃,박한이 : 유격수 라인드라이브 아웃;,0,1,0,1,초,0,0,1,0,좌,우,,,,곽정철,김상훈,최희섭,김종국,김상현,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,70646,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,1,2,-1,20090605SSHT0
직구,곽정철,최형우,75668,72443,150,스트라이크,,,,0,0,1,1,초,0,0,0,0,좌,우,,,,곽정철,김상훈,최희섭,김종국,김상현,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,70646,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,2,1,-1,20090605SSHT0
체인지업,곽정철,최형우,75668,72443,135,타격,포스 아웃,땅볼 아웃,최형우 : 1루수 땅볼 아웃 (1루수 1루 터치아웃);,0,1,1,1,초,0,0,1,0,좌,우,,,,곽정철,김상훈,최희섭,김종국,김상현,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,70646,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,2,2,-1,20090605SSHT0
슬라이더,곽정철,강봉규,75668,70224,133,헛스윙,,,,0,0,2,1,초,0,0,0,0,우,우,,,,곽정철,김상훈,최희섭,김종국,김상현,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,70646,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,3,1,-1,20090605SSHT0
체인지업,곽정철,강봉규,75668,70224,139,볼,,,,0,1,2,1,초,0,0,0,0,우,우,,,,곽정철,김상훈,최희섭,김종국,김상현,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,70646,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,3,2,-1,20090605SSHT0
직구,곽정철,강봉규,75668,70224,149,파울,,,,1,1,2,1,초,0,0,0,0,우,우,,,,곽정철,김상훈,최희섭,김종국,김상현,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,70646,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,3,3,-1,20090605SSHT0
직구,곽정철,강봉규,75668,70224,143,타격,포스 아웃,땅볼 아웃,강봉규 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃);,1,2,2,1,초,0,0,1,0,우,우,,,,곽정철,김상훈,최희섭,김종국,김상현,이현곤,나지완,김원섭,이종범,,,,75668,70612,77623,96616,70646,72606,78629,71207,93607,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,3,4,-1,20090605SSHT0
직구,안지만,김원섭,72463,71207,140,스트라이크,,,,0,0,0,1,말,0,0,0,0,좌,우,,,,안지만,진갑용,채태인,조동찬,박석민,김상수,최형우,박한이,강봉규,,,,72463,97202,77463,72466,74465,79402,72443,71432,70224,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,4,1,-1,20090605SSHT0
직구,안지만,김원섭,72463,71207,139,볼,,,,0,1,0,1,말,0,0,0,0,좌,우,,,,안지만,진갑용,채태인,조동찬,박석민,김상수,최형우,박한이,강봉규,,,,72463,97202,77463,72466,74465,79402,72443,71432,70224,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,4,2,-1,20090605SSHT0
체인지업,안지만,김원섭,72463,71207,127,스트라이크,,,,1,1,0,1,말,0,0,0,0,좌,우,,,,안지만,진갑용,채태인,조동찬,박석민,김상수,최형우,박한이,강봉규,,,,72463,97202,77463,72466,74465,79402,72443,71432,70224,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,4,3,-1,20090605SSHT0
슬라이더,안지만,김원섭,72463,71207,130,볼,,,,1,2,0,1,말,0,0,0,0,좌,우,,,,안지만,진갑용,채태인,조동찬,박석민,김상수,최형우,박한이,강봉규,,,,72463,97202,77463,72466,74465,79402,72443,71432,70224,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,4,4,-1,20090605SSHT0
체인지업,안지만,김원섭,72463,71207,131,헛스윙,삼진,삼진,김원섭 :  삼진 아웃;,2,2,0,1,말,0,0,0,0,좌,우,,,,안지만,진갑용,채태인,조동찬,박석민,김상수,최형우,박한이,강봉규,,,,72463,97202,77463,72466,74465,79402,72443,71432,70224,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,4,5,-1,20090605SSHT0
커브,안지만,이종범,72463,93607,115,볼,,,,0,0,1,1,말,0,0,0,0,우,우,,,,안지만,진갑용,채태인,조동찬,박석민,김상수,최형우,박한이,강봉규,,,,72463,97202,77463,72466,74465,79402,72443,71432,70224,,,,,,,,,,,,,,,,,,20090605,HT,SS,KIA,삼성,무등,이영재,5,1,-1,20090605SSHT0
