pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,심수창,박재상,74167,71857,140,볼,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,심수창,조인성,최동수,박경수,정성훈,권용관,박용택,이대형,이진영,,,,74167,98144,94132,73113,99606,95158,72133,73153,99810,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,1,1,-1,20090614SKLG0
직구,심수창,박재상,74167,71857,140,스트라이크,,,,1,0,0,1,초,0,0,0,0,좌,우,,,,심수창,조인성,최동수,박경수,정성훈,권용관,박용택,이대형,이진영,,,,74167,98144,94132,73113,99606,95158,72133,73153,99810,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,1,2,-1,20090614SKLG0
직구,심수창,박재상,74167,71857,140,볼,,,,1,1,0,1,초,0,0,0,0,좌,우,,,,심수창,조인성,최동수,박경수,정성훈,권용관,박용택,이대형,이진영,,,,74167,98144,94132,73113,99606,95158,72133,73153,99810,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,1,3,-1,20090614SKLG0
직구,심수창,박재상,74167,71857,140,타격,포스 아웃,땅볼 아웃,박재상 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃);,2,1,0,1,초,0,0,1,0,좌,우,,,,심수창,조인성,최동수,박경수,정성훈,권용관,박용택,이대형,이진영,,,,74167,98144,94132,73113,99606,95158,72133,73153,99810,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,1,4,-1,20090614SKLG0
직구,심수창,조동화,74167,71848,140,볼,,,,0,0,1,1,초,0,0,0,0,좌,우,,,,심수창,조인성,최동수,박경수,정성훈,권용관,박용택,이대형,이진영,,,,74167,98144,94132,73113,99606,95158,72133,73153,99810,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,2,1,-1,20090614SKLG0
포크,심수창,조동화,74167,71848,130,파울,,,,1,0,1,1,초,0,0,0,0,좌,우,,,,심수창,조인성,최동수,박경수,정성훈,권용관,박용택,이대형,이진영,,,,74167,98144,94132,73113,99606,95158,72133,73153,99810,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,2,2,-1,20090614SKLG0
직구,심수창,조동화,74167,71848,140,스트라이크,,,,1,1,1,1,초,0,0,0,0,좌,우,,,,심수창,조인성,최동수,박경수,정성훈,권용관,박용택,이대형,이진영,,,,74167,98144,94132,73113,99606,95158,72133,73153,99810,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,2,3,-1,20090614SKLG0
포크,심수창,조동화,74167,71848,130,타격,포스 아웃,땅볼 아웃,조동화 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃);,1,2,1,1,초,0,0,1,0,좌,우,,,,심수창,조인성,최동수,박경수,정성훈,권용관,박용택,이대형,이진영,,,,74167,98144,94132,73113,99606,95158,72133,73153,99810,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,2,4,-1,20090614SKLG0
커브,심수창,김재현,74167,94107,116,볼,,,,0,0,2,1,초,0,0,0,0,좌,우,,,,심수창,조인성,최동수,박경수,정성훈,권용관,박용택,이대형,이진영,,,,74167,98144,94132,73113,99606,95158,72133,73153,99810,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,3,1,-1,20090614SKLG0
직구,심수창,김재현,74167,94107,139,볼,,,,1,0,2,1,초,0,0,0,0,좌,우,,,,심수창,조인성,최동수,박경수,정성훈,권용관,박용택,이대형,이진영,,,,74167,98144,94132,73113,99606,95158,72133,73153,99810,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,3,2,-1,20090614SKLG0
직구,심수창,김재현,74167,94107,134,스트라이크,,,,2,0,2,1,초,0,0,0,0,좌,우,,,,심수창,조인성,최동수,박경수,정성훈,권용관,박용택,이대형,이진영,,,,74167,98144,94132,73113,99606,95158,72133,73153,99810,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,3,3,-1,20090614SKLG0
직구,심수창,김재현,74167,94107,138,타격,포스 아웃,땅볼 아웃,김재현 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃);,2,1,2,1,초,0,0,1,0,좌,우,,,,심수창,조인성,최동수,박경수,정성훈,권용관,박용택,이대형,이진영,,,,74167,98144,94132,73113,99606,95158,72133,73153,99810,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,3,4,-1,20090614SKLG0
직구,엄정욱,박용택,70855,72133,140,볼,,,,0,0,0,1,말,0,0,0,0,좌,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,4,1,-1,20090614SKLG0
직구,엄정욱,박용택,70855,72133,135,스트라이크,,,,1,0,0,1,말,0,0,0,0,좌,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,4,2,-1,20090614SKLG0
포크,엄정욱,박용택,70855,72133,126,헛스윙,,,,1,1,0,1,말,0,0,0,0,좌,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,4,3,-1,20090614SKLG0
포크,엄정욱,박용택,70855,72133,131,볼,,,,1,2,0,1,말,0,0,0,0,좌,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,4,4,-1,20090614SKLG0
직구,엄정욱,박용택,70855,72133,146,파울,,,,2,2,0,1,말,0,0,0,0,좌,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,4,5,-1,20090614SKLG0
슬라이더,엄정욱,박용택,70855,72133,128,볼,,,,2,2,0,1,말,0,0,0,0,좌,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,4,6,-1,20090614SKLG0
직구,엄정욱,박용택,70855,72133,142,파울,,,,3,2,0,1,말,0,0,0,0,좌,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,4,7,-1,20090614SKLG0
직구,엄정욱,박용택,70855,72133,143,파울,,,,3,2,0,1,말,0,0,0,0,좌,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,4,8,-1,20090614SKLG0
포크,엄정욱,박용택,70855,72133,125,스트라이크,삼진,삼진,박용택 :  삼진 아웃;,3,2,0,1,말,0,0,0,0,좌,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,4,9,-1,20090614SKLG0
직구,엄정욱,이대형,70855,73153,139,스트라이크,,,,0,0,1,1,말,0,0,0,0,좌,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,5,1,-1,20090614SKLG0
커브,엄정욱,이대형,70855,73153,108,볼,,,,0,1,1,1,말,0,0,0,0,좌,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,5,2,-1,20090614SKLG0
직구,엄정욱,이대형,70855,73153,146,타격,포스 아웃,땅볼 아웃,이대형 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃);,1,1,1,1,말,0,0,1,0,좌,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,5,3,-1,20090614SKLG0
직구,엄정욱,정성훈,70855,99606,143,볼,,,,0,0,2,1,말,0,0,0,0,우,우,,,,엄정욱,박경완,박정권,정근우,박정환,나주환,박재상,김강민,조동화,,,,70855,92809,74846,75808,70408,73209,71857,71837,71848,,,,,,,,,,,,,,,,,,20090614,LG,SK,LG,SSG,잠실,문승훈,6,1,-1,20090614SKLG0
