pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,유원상,박용택,76757,72133,140,볼,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,유원상,신경현,이영우,오선진,이범호,송광민,연경흠,강동우,김태완,,,,76757,98742,96734,78756,70756,76753,76743,98420,76746,,,,,,,,,,,,,,,,,,20090617,HH,LG,한화,LG,한밭,강광회,1,1,-1,20090617LGHH0
직구,유원상,박용택,76757,72133,141,스트라이크,,,,1,0,0,1,초,0,0,0,0,좌,우,,,,유원상,신경현,이영우,오선진,이범호,송광민,연경흠,강동우,김태완,,,,76757,98742,96734,78756,70756,76753,76743,98420,76746,,,,,,,,,,,,,,,,,,20090617,HH,LG,한화,LG,한밭,강광회,1,2,-1,20090617LGHH0
슬라이더,유원상,박용택,76757,72133,129,파울,,,,1,1,0,1,초,0,0,0,0,좌,우,,,,유원상,신경현,이영우,오선진,이범호,송광민,연경흠,강동우,김태완,,,,76757,98742,96734,78756,70756,76753,76743,98420,76746,,,,,,,,,,,,,,,,,,20090617,HH,LG,한화,LG,한밭,강광회,1,3,-1,20090617LGHH0
직구,유원상,박용택,76757,72133,142,볼,,,,1,2,0,1,초,0,0,0,0,좌,우,,,,유원상,신경현,이영우,오선진,이범호,송광민,연경흠,강동우,김태완,,,,76757,98742,96734,78756,70756,76753,76743,98420,76746,,,,,,,,,,,,,,,,,,20090617,HH,LG,한화,LG,한밭,강광회,1,4,-1,20090617LGHH0
슬라이더,유원상,박용택,76757,72133,130,타격,필드 아웃,플라이 아웃,박용택 : 우익수 플라이 아웃;,2,2,0,1,초,0,0,1,0,좌,우,,,,유원상,신경현,이영우,오선진,이범호,송광민,연경흠,강동우,김태완,,,,76757,98742,96734,78756,70756,76753,76743,98420,76746,,,,,,,,,,,,,,,,,,20090617,HH,LG,한화,LG,한밭,강광회,1,5,-1,20090617LGHH0
직구,유원상,이대형,76757,73153,142,볼,,,,0,0,1,1,초,0,0,0,0,좌,우,,,,유원상,신경현,이영우,오선진,이범호,송광민,연경흠,강동우,김태완,,,,76757,98742,96734,78756,70756,76753,76743,98420,76746,,,,,,,,,,,,,,,,,,20090617,HH,LG,한화,LG,한밭,강광회,2,1,-1,20090617LGHH0
직구,유원상,이대형,76757,73153,142,볼,,,,1,0,1,1,초,0,0,0,0,좌,우,,,,유원상,신경현,이영우,오선진,이범호,송광민,연경흠,강동우,김태완,,,,76757,98742,96734,78756,70756,76753,76743,98420,76746,,,,,,,,,,,,,,,,,,20090617,HH,LG,한화,LG,한밭,강광회,2,2,-1,20090617LGHH0
직구,유원상,이대형,76757,73153,132,볼,,,,2,0,1,1,초,0,0,0,0,좌,우,,,,유원상,신경현,이영우,오선진,이범호,송광민,연경흠,강동우,김태완,,,,76757,98742,96734,78756,70756,76753,76743,98420,76746,,,,,,,,,,,,,,,,,,20090617,HH,LG,한화,LG,한밭,강광회,2,3,-1,20090617LGHH0
직구,유원상,이대형,76757,73153,135,볼,볼넷,볼넷,이대형 :  볼넷;,3,0,1,1,초,0,0,0,0,좌,우,,,,유원상,신경현,이영우,오선진,이범호,송광민,연경흠,강동우,김태완,,,,76757,98742,96734,78756,70756,76753,76743,98420,76746,,,,,,,,,,,,,,,,,,20090617,HH,LG,한화,LG,한밭,강광회,2,4,-1,20090617LGHH0
직구,유원상,정성훈,76757,99606,131,볼,,,,0,0,1,1,초,0,0,0,0,우,우,이대형,,,유원상,신경현,이영우,오선진,이범호,송광민,연경흠,강동우,김태완,73153.0,,,76757,98742,96734,78756,70756,76753,76743,98420,76746,,,,,,,,,,,,,,,,,,20090617,HH,LG,한화,LG,한밭,강광회,3,1,-1,20090617LGHH0
