pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,차우찬,이종범,76455,93607,142,볼,,,,0,0,0,1,초,0,0,0,0,우,좌,,,,차우찬,진갑용,채태인,신명철,박석민,손주인,최형우,이영욱,강봉규,,,,76455,97202,77463,71504,74465,72456,72443,78467,70224,,,,,,,,,,,,,,,,,,20090701,SS,HT,삼성,KIA,시민,최규순,1,1,-1,20090701HTSS0
직구,차우찬,이종범,76455,93607,146,타격,홈런,홈런,이종범 : 좌익수 뒤 홈런(홈런거리:110M);,1,0,0,1,초,0,0,0,1,우,좌,,,,차우찬,진갑용,채태인,신명철,박석민,손주인,최형우,이영욱,강봉규,,,,76455,97202,77463,71504,74465,72456,72443,78467,70224,,,,,,,,,,,,,,,,,,20090701,SS,HT,삼성,KIA,시민,최규순,1,2,-1,20090701HTSS0
직구,차우찬,안치홍,76455,79608,143,스트라이크,,,,0,0,0,1,초,1,0,0,0,우,좌,,,,차우찬,진갑용,채태인,신명철,박석민,손주인,최형우,이영욱,강봉규,,,,76455,97202,77463,71504,74465,72456,72443,78467,70224,,,,,,,,,,,,,,,,,,20090701,SS,HT,삼성,KIA,시민,최규순,2,1,-1,20090701HTSS0
슬라이더,차우찬,안치홍,76455,79608,127,파울,,,,0,1,0,1,초,1,0,0,0,우,좌,,,,차우찬,진갑용,채태인,신명철,박석민,손주인,최형우,이영욱,강봉규,,,,76455,97202,77463,71504,74465,72456,72443,78467,70224,,,,,,,,,,,,,,,,,,20090701,SS,HT,삼성,KIA,시민,최규순,2,2,-1,20090701HTSS0
직구,차우찬,안치홍,76455,79608,143,볼,,,,0,2,0,1,초,1,0,0,0,우,좌,,,,차우찬,진갑용,채태인,신명철,박석민,손주인,최형우,이영욱,강봉규,,,,76455,97202,77463,71504,74465,72456,72443,78467,70224,,,,,,,,,,,,,,,,,,20090701,SS,HT,삼성,KIA,시민,최규순,2,3,-1,20090701HTSS0
직구,차우찬,안치홍,76455,79608,141,볼,,,,1,2,0,1,초,1,0,0,0,우,좌,,,,차우찬,진갑용,채태인,신명철,박석민,손주인,최형우,이영욱,강봉규,,,,76455,97202,77463,71504,74465,72456,72443,78467,70224,,,,,,,,,,,,,,,,,,20090701,SS,HT,삼성,KIA,시민,최규순,2,4,-1,20090701HTSS0
직구,차우찬,안치홍,76455,79608,140,볼,,,,2,2,0,1,초,1,0,0,0,우,좌,,,,차우찬,진갑용,채태인,신명철,박석민,손주인,최형우,이영욱,강봉규,,,,76455,97202,77463,71504,74465,72456,72443,78467,70224,,,,,,,,,,,,,,,,,,20090701,SS,HT,삼성,KIA,시민,최규순,2,5,-1,20090701HTSS0
슬라이더,차우찬,안치홍,76455,79608,132,볼,볼넷,볼넷,안치홍 :  볼넷;,3,2,0,1,초,1,0,0,0,우,좌,,,,차우찬,진갑용,채태인,신명철,박석민,손주인,최형우,이영욱,강봉규,,,,76455,97202,77463,71504,74465,72456,72443,78467,70224,,,,,,,,,,,,,,,,,,20090701,SS,HT,삼성,KIA,시민,최규순,2,6,-1,20090701HTSS0
직구,차우찬,최희섭,76455,77623,142,볼,,,,0,0,0,1,초,1,0,0,0,좌,좌,안치홍,,,차우찬,진갑용,채태인,신명철,박석민,손주인,최형우,이영욱,강봉규,79608.0,,,76455,97202,77463,71504,74465,72456,72443,78467,70224,,,,,,,,,,,,,,,,,,20090701,SS,HT,삼성,KIA,시민,최규순,3,1,-1,20090701HTSS0
직구,차우찬,최희섭,76455,77623,136,볼,,,,1,0,0,1,초,1,0,0,0,좌,좌,안치홍,,,차우찬,진갑용,채태인,신명철,박석민,손주인,최형우,이영욱,강봉규,79608.0,,,76455,97202,77463,71504,74465,72456,72443,78467,70224,,,,,,,,,,,,,,,,,,20090701,SS,HT,삼성,KIA,시민,최규순,3,2,-1,20090701HTSS0
