pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,최영필,안치홍,97336,79608,137,볼,,,,0,0,0,1,초,0,0,0,0,우,우,,,,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,,,,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,1,1,-1,20090703HTHH0
직구,최영필,안치홍,97336,79608,132,타격,안타,안타,안치홍 : 중견수 앞 1루타;,1,0,0,1,초,0,0,0,0,우,우,,,,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,,,,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,1,2,-1,20090703HTHH0
직구,최영필,최경환,97336,70117,137,볼,,,,0,0,0,1,초,0,0,0,0,좌,우,안치홍,,,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,79608.0,,,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,2,1,-1,20090703HTHH0
직구,최영필,최경환,97336,70117,138,타격,필드 아웃,플라이 아웃,최경환 : 우익수 플라이 아웃;,1,0,0,1,초,0,0,1,0,좌,우,안치홍,,,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,79608.0,,,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,2,2,-1,20090703HTHH0
직구,최영필,이종범,97336,93607,138,파울,,,,0,0,1,1,초,0,0,0,0,우,우,안치홍,,,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,79608.0,,,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,3,1,-1,20090703HTHH0
직구,최영필,이종범,97336,93607,140,파울,,,,0,1,1,1,초,0,0,0,0,우,우,안치홍,,,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,79608.0,,,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,3,2,-1,20090703HTHH0
커브,최영필,이종범,97336,93607,120,파울,,,,0,2,1,1,초,0,0,0,0,우,우,안치홍,,,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,79608.0,,,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,3,3,-1,20090703HTHH0
직구,최영필,이종범,97336,93607,151,타격,필드 아웃,플라이 아웃,이종범 : 좌익수 플라이 아웃;,0,2,1,1,초,0,0,1,0,우,우,안치홍,,,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,79608.0,,,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,3,4,-1,20090703HTHH0
커브,최영필,김상현,97336,70646,121,스트라이크,,,,0,0,2,1,초,0,0,0,0,우,우,안치홍,,,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,79608.0,,,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,4,1,-1,20090703HTHH0
,최영필,김상현,97336,70646,,,,,1루주자 안치홍 :  도루로 2루까지 진루; 2루주자 안치홍 : 포수 실책으로  3루까지 진루(포수 실책->2루수);,0,1,2,1,초,0,0,0,0,우,우,안치홍,,,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,79608.0,,,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,4,,,20090703HTHH0
직구,최영필,김상현,97336,70646,140,볼,,,,0,1,2,1,초,0,0,0,0,우,우,,,안치홍,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,,,79608.0,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,4,2,-1,20090703HTHH0
커브,최영필,김상현,97336,70646,113,헛스윙,,,,1,1,2,1,초,0,0,0,0,우,우,,,안치홍,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,,,79608.0,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,4,3,-1,20090703HTHH0
직구,최영필,김상현,97336,70646,139,스트라이크,삼진,삼진,김상현 :  삼진 아웃;,1,2,2,1,초,0,0,0,0,우,우,,,안치홍,최영필,이도형,김태균,김민재,이범호,송광민,연경흠,강동우,디아즈,,,79608.0,97336,93225,71752,91523,70756,76753,76743,98420,79725,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,4,4,-1,20090703HTHH0
직구,로페즈,강동우,79644,98420,144,스트라이크,,,,0,0,0,1,말,0,0,0,0,좌,우,,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,최경환,이종범,나지완,,,,79644,73602,77623,79608,70646,72606,70117,93607,78629,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,5,1,-1,20090703HTHH0
슬라이더,로페즈,강동우,79644,98420,124,볼,,,,0,1,0,1,말,0,0,0,0,좌,우,,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,최경환,이종범,나지완,,,,79644,73602,77623,79608,70646,72606,70117,93607,78629,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,5,2,-1,20090703HTHH0
체인지업,로페즈,강동우,79644,98420,131,스트라이크,,,,1,1,0,1,말,0,0,0,0,좌,우,,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,최경환,이종범,나지완,,,,79644,73602,77623,79608,70646,72606,70117,93607,78629,,,,,,,,,,,,,,,,,,20090703,HH,HT,한화,KIA,한밭,김성철,5,3,-1,20090703HTHH0
