pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,존슨,이종욱,79156,73339,139,볼,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,존슨,김태군,최동수,박종호,박경수,권용관,박용근,박용택,이대형,,,,79156,78122,94132,92906,73113,95158,77104,72133,73153,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,1,1,-1,20090807OBLG0
직구,존슨,이종욱,79156,73339,141,파울,,,,1,0,0,1,초,0,0,0,0,좌,우,,,,존슨,김태군,최동수,박종호,박경수,권용관,박용근,박용택,이대형,,,,79156,78122,94132,92906,73113,95158,77104,72133,73153,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,1,2,-1,20090807OBLG0
커브,존슨,이종욱,79156,73339,118,타격,필드 아웃,플라이 아웃,이종욱 : 우익수 플라이 아웃;,1,1,0,1,초,0,0,1,0,좌,우,,,,존슨,김태군,최동수,박종호,박경수,권용관,박용근,박용택,이대형,,,,79156,78122,94132,92906,73113,95158,77104,72133,73153,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,1,3,-1,20090807OBLG0
직구,존슨,임재철,79156,99507,141,볼,,,,0,0,1,1,초,0,0,0,0,우,우,,,,존슨,김태군,최동수,박종호,박경수,권용관,박용근,박용택,이대형,,,,79156,78122,94132,92906,73113,95158,77104,72133,73153,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,2,1,-1,20090807OBLG0
직구,존슨,임재철,79156,99507,144,볼,,,,1,0,1,1,초,0,0,0,0,우,우,,,,존슨,김태군,최동수,박종호,박경수,권용관,박용근,박용택,이대형,,,,79156,78122,94132,92906,73113,95158,77104,72133,73153,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,2,2,-1,20090807OBLG0
직구,존슨,임재철,79156,99507,142,타격,필드 아웃,플라이 아웃,임재철 : 우익수 플라이 아웃;,2,0,1,1,초,0,0,1,0,우,우,,,,존슨,김태군,최동수,박종호,박경수,권용관,박용근,박용택,이대형,,,,79156,78122,94132,92906,73113,95158,77104,72133,73153,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,2,3,-1,20090807OBLG0
직구,존슨,김현수,79156,76290,142,볼,,,,0,0,2,1,초,0,0,0,0,좌,우,,,,존슨,김태군,최동수,박종호,박경수,권용관,박용근,박용택,이대형,,,,79156,78122,94132,92906,73113,95158,77104,72133,73153,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,3,1,-1,20090807OBLG0
직구,존슨,김현수,79156,76290,144,파울,,,,1,0,2,1,초,0,0,0,0,좌,우,,,,존슨,김태군,최동수,박종호,박경수,권용관,박용근,박용택,이대형,,,,79156,78122,94132,92906,73113,95158,77104,72133,73153,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,3,2,-1,20090807OBLG0
체인지업,존슨,김현수,79156,76290,130,파울,,,,1,1,2,1,초,0,0,0,0,좌,우,,,,존슨,김태군,최동수,박종호,박경수,권용관,박용근,박용택,이대형,,,,79156,78122,94132,92906,73113,95158,77104,72133,73153,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,3,3,-1,20090807OBLG0
커브,존슨,김현수,79156,76290,116,타격,포스 아웃,땅볼 아웃,김현수 : 1루수 땅볼 아웃 (1루수 1루 터치아웃);,1,2,2,1,초,0,0,1,0,좌,우,,,,존슨,김태군,최동수,박종호,박경수,권용관,박용근,박용택,이대형,,,,79156,78122,94132,92906,73113,95158,77104,72133,73153,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,3,4,-1,20090807OBLG0
직구,니코스키,이대형,79859,73153,139,볼,,,,0,0,0,1,말,0,0,0,0,좌,좌,,,,니코스키,최승환,이원석,김재호,김동주,손시헌,김현수,이종욱,임재철,,,,79859,70122,75566,74206,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,4,1,-1,20090807OBLG0
직구,니코스키,이대형,79859,73153,141,스트라이크,,,,1,0,0,1,말,0,0,0,0,좌,좌,,,,니코스키,최승환,이원석,김재호,김동주,손시헌,김현수,이종욱,임재철,,,,79859,70122,75566,74206,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,4,2,-1,20090807OBLG0
직구,니코스키,이대형,79859,73153,142,볼,,,,1,1,0,1,말,0,0,0,0,좌,좌,,,,니코스키,최승환,이원석,김재호,김동주,손시헌,김현수,이종욱,임재철,,,,79859,70122,75566,74206,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,4,3,-1,20090807OBLG0
슬라이더,니코스키,이대형,79859,73153,134,헛스윙,,,,2,1,0,1,말,0,0,0,0,좌,좌,,,,니코스키,최승환,이원석,김재호,김동주,손시헌,김현수,이종욱,임재철,,,,79859,70122,75566,74206,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,4,4,-1,20090807OBLG0
직구,니코스키,이대형,79859,73153,145,파울,,,,2,2,0,1,말,0,0,0,0,좌,좌,,,,니코스키,최승환,이원석,김재호,김동주,손시헌,김현수,이종욱,임재철,,,,79859,70122,75566,74206,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,4,5,-1,20090807OBLG0
직구,니코스키,이대형,79859,73153,144,볼,,,,2,2,0,1,말,0,0,0,0,좌,좌,,,,니코스키,최승환,이원석,김재호,김동주,손시헌,김현수,이종욱,임재철,,,,79859,70122,75566,74206,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,4,6,-1,20090807OBLG0
직구,니코스키,이대형,79859,73153,145,볼,볼넷,볼넷,이대형 :  볼넷;,3,2,0,1,말,0,0,0,0,좌,좌,,,,니코스키,최승환,이원석,김재호,김동주,손시헌,김현수,이종욱,임재철,,,,79859,70122,75566,74206,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,4,7,-1,20090807OBLG0
직구,니코스키,박용근,79859,77104,143,볼,,,,0,0,0,1,말,0,0,0,0,우,좌,이대형,,,니코스키,최승환,이원석,김재호,김동주,손시헌,김현수,이종욱,임재철,73153.0,,,79859,70122,75566,74206,98218,73213,76290,73339,99507,,,,,,,,,,,,,,,,,,20090807,LG,OB,LG,두산,잠실,임채섭,5,1,-1,20090807OBLG0
