pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,김수경,이종욱,98330,73339,137,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,김수경,강귀태,이숭용,권도영,황재균,강정호,클락,이택근,송지만,,,,98330,72312,94310,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,1,1,-1,20090815OBWO0
슬라이더,김수경,이종욱,98330,73339,130,타격,포스 아웃,땅볼 아웃,이종욱 : 1루수 땅볼 아웃 (1루수 1루 터치아웃);,0,1,0,1,초,0,0,1,0,좌,우,,,,김수경,강귀태,이숭용,권도영,황재균,강정호,클락,이택근,송지만,,,,98330,72312,94310,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,1,2,-1,20090815OBWO0
포크,김수경,오재원,98330,77248,132,볼,,,,0,0,1,1,초,0,0,0,0,좌,우,,,,김수경,강귀태,이숭용,권도영,황재균,강정호,클락,이택근,송지만,,,,98330,72312,94310,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,2,1,-1,20090815OBWO0
직구,김수경,오재원,98330,77248,137,파울,,,,1,0,1,1,초,0,0,0,0,좌,우,,,,김수경,강귀태,이숭용,권도영,황재균,강정호,클락,이택근,송지만,,,,98330,72312,94310,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,2,2,-1,20090815OBWO0
직구,김수경,오재원,98330,77248,139,타격,필드 아웃,플라이 아웃,오재원 : 중견수 플라이 아웃;,1,1,1,1,초,0,0,1,0,좌,우,,,,김수경,강귀태,이숭용,권도영,황재균,강정호,클락,이택근,송지만,,,,98330,72312,94310,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,2,3,-1,20090815OBWO0
직구,김수경,이원석,98330,75566,138,스트라이크,,,,0,0,2,1,초,0,0,0,0,우,우,,,,김수경,강귀태,이숭용,권도영,황재균,강정호,클락,이택근,송지만,,,,98330,72312,94310,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,3,1,-1,20090815OBWO0
슬라이더,김수경,이원석,98330,75566,134,타격,포스 아웃,땅볼 아웃,이원석 : 투수 땅볼 아웃 (투수->1루수 송구아웃);,0,1,2,1,초,0,0,1,0,우,우,,,,김수경,강귀태,이숭용,권도영,황재균,강정호,클락,이택근,송지만,,,,98330,72312,94310,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,3,2,-1,20090815OBWO0
직구,홍상삼,황재균,78247,76313,140,파울,,,,0,0,0,1,말,0,0,0,0,우,우,,,,홍상삼,용덕한,오재원,고영민,이원석,김재호,김현수,이종욱,임재철,,,,78247,74223,77248,72214,75566,74206,76290,73339,99507,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,4,1,-1,20090815OBWO0
슬라이더,홍상삼,황재균,78247,76313,129,헛스윙,,,,0,1,0,1,말,0,0,0,0,우,우,,,,홍상삼,용덕한,오재원,고영민,이원석,김재호,김현수,이종욱,임재철,,,,78247,74223,77248,72214,75566,74206,76290,73339,99507,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,4,2,-1,20090815OBWO0
직구,홍상삼,황재균,78247,76313,143,볼,,,,0,2,0,1,말,0,0,0,0,우,우,,,,홍상삼,용덕한,오재원,고영민,이원석,김재호,김현수,이종욱,임재철,,,,78247,74223,77248,72214,75566,74206,76290,73339,99507,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,4,3,-1,20090815OBWO0
슬라이더,홍상삼,황재균,78247,76313,131,볼,,,,1,2,0,1,말,0,0,0,0,우,우,,,,홍상삼,용덕한,오재원,고영민,이원석,김재호,김현수,이종욱,임재철,,,,78247,74223,77248,72214,75566,74206,76290,73339,99507,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,4,4,-1,20090815OBWO0
직구,홍상삼,황재균,78247,76313,144,스트라이크,삼진,삼진,황재균 :  삼진 아웃;,2,2,0,1,말,0,0,0,0,우,우,,,,홍상삼,용덕한,오재원,고영민,이원석,김재호,김현수,이종욱,임재철,,,,78247,74223,77248,72214,75566,74206,76290,73339,99507,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,4,5,-1,20090815OBWO0
직구,홍상삼,이숭용,78247,94310,144,볼,,,,0,0,1,1,말,0,0,0,0,좌,우,,,,홍상삼,용덕한,오재원,고영민,이원석,김재호,김현수,이종욱,임재철,,,,78247,74223,77248,72214,75566,74206,76290,73339,99507,,,,,,,,,,,,,,,,,,20090815,WO,OB,키움,두산,목동,오석환,5,1,-1,20090815OBWO0
