pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
슬라이더,김수경,강동우,98330,98420,121,볼,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,,,,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,1,1,-1,20090822HHWO0
직구,김수경,강동우,98330,98420,136,타격,안타,안타,강동우 : 중견수 오른쪽 1루타;,1,0,0,1,초,0,0,0,0,좌,우,,,,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,,,,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,1,2,-1,20090822HHWO0
직구,김수경,추승우,98330,72139,134,볼,,,,0,0,0,1,초,0,0,0,0,좌,우,강동우,,,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,98420.0,,,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,2,1,-1,20090822HHWO0
직구,김수경,추승우,98330,72139,136,스트라이크,,,,1,0,0,1,초,0,0,0,0,좌,우,강동우,,,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,98420.0,,,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,2,2,-1,20090822HHWO0
직구,김수경,추승우,98330,72139,131,볼,,,,1,1,0,1,초,0,0,0,0,좌,우,강동우,,,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,98420.0,,,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,2,3,-1,20090822HHWO0
직구,김수경,추승우,98330,72139,133,파울,,,,2,1,0,1,초,0,0,0,0,좌,우,강동우,,,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,98420.0,,,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,2,4,-1,20090822HHWO0
슬라이더,김수경,추승우,98330,72139,123,볼,,,,2,2,0,1,초,0,0,0,0,좌,우,강동우,,,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,98420.0,,,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,2,5,-1,20090822HHWO0
,김수경,추승우,98330,72139,,,,,1루주자 강동우 :  폭투로 3루까지 진루;,3,2,0,1,초,0,0,0,0,좌,우,강동우,,,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,98420.0,,,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,2,,,20090822HHWO0
직구,김수경,추승우,98330,72139,137,타격,포스 아웃,땅볼 아웃,추승우 : 1루수 땅볼 아웃 (1루수 1루 터치아웃);,3,2,0,1,초,0,0,1,0,좌,우,,,강동우,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,,,98420.0,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,2,6,-1,20090822HHWO0
슬라이더,김수경,김태완,98330,76746,127,파울,,,,0,0,1,1,초,0,0,0,0,우,우,,,강동우,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,,,98420.0,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,3,1,-1,20090822HHWO0
직구,김수경,김태완,98330,76746,133,파울,,,,0,1,1,1,초,0,0,0,0,우,우,,,강동우,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,,,98420.0,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,3,2,-1,20090822HHWO0
슬라이더,김수경,김태완,98330,76746,127,파울,,,,0,2,1,1,초,0,0,0,0,우,우,,,강동우,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,,,98420.0,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,3,3,-1,20090822HHWO0
직구,김수경,김태완,98330,76746,137,볼,,,,0,2,1,1,초,0,0,0,0,우,우,,,강동우,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,,,98420.0,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,3,4,-1,20090822HHWO0
슬라이더,김수경,김태완,98330,76746,130,볼,,,,1,2,1,1,초,0,0,0,0,우,우,,,강동우,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,,,98420.0,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,3,5,-1,20090822HHWO0
직구,김수경,김태완,98330,76746,133,타격,필드 아웃,플라이 아웃,김태완 : 2루수 플라이 아웃;,2,2,1,1,초,0,0,1,0,우,우,,,강동우,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,,,98420.0,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,3,6,-1,20090822HHWO0
직구,김수경,김태균,98330,71752,135,스트라이크,,,,0,0,2,1,초,0,0,0,0,우,우,,,강동우,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,,,98420.0,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,4,1,-1,20090822HHWO0
직구,김수경,김태균,98330,71752,135,타격,포스 아웃,땅볼 아웃,김태균 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃);,0,1,2,1,초,0,0,1,0,우,우,,,강동우,김수경,강귀태,오재일,권도영,황재균,강정호,클락,이택근,송지만,,,98420.0,98330,72312,75334,73363,76313,76325,78725,73342,96761,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,4,2,-1,20090822HHWO0
직구,연지,황재균,79727,76313,143,파울,,,,0,0,0,1,말,0,0,0,0,우,우,,,,연지,이도형,김태균,김민재,이범호,송광민,연경흠,추승우,강동우,,,,79727,93225,71752,91523,70756,76753,76743,72139,98420,,,,,,,,,,,,,,,,,,20090822,WO,HH,키움,한화,목동,김병주,5,1,-1,20090822HHWO0
