pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,김원형,이용규,91848,74163,151,타격,2루타,2루타,이용규 : 우중간 2루타;,0,0,0,1,초,0,0,0,0,좌,우,,,,김원형,정상호,이호준,정근우,김연훈,나주환,박재상,김강민,박재홍,,,,91848,71842,94629,75808,77609,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,1,1,-1,20090822HTSK0
커브,김원형,김원섭,91848,71207,117,타격,희생번트,희생번트,김원섭 : 투수 희생번트 아웃 (투수->1루수 송구아웃); 2루주자 이용규 :   3루까지 진루;,0,0,0,1,초,0,0,1,0,좌,우,,이용규,,김원형,정상호,이호준,정근우,김연훈,나주환,박재상,김강민,박재홍,,74163.0,,91848,71842,94629,75808,77609,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,2,1,-1,20090822HTSK0
슬라이더,김원형,나지완,91848,78629,125,볼,,,,0,0,1,1,초,0,0,0,0,우,우,,,이용규,김원형,정상호,이호준,정근우,김연훈,나주환,박재상,김강민,박재홍,,,74163.0,91848,71842,94629,75808,77609,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,3,1,-1,20090822HTSK0
체인지업,김원형,나지완,91848,78629,127,스트라이크,,,,1,0,1,1,초,0,0,0,0,우,우,,,이용규,김원형,정상호,이호준,정근우,김연훈,나주환,박재상,김강민,박재홍,,,74163.0,91848,71842,94629,75808,77609,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,3,2,-1,20090822HTSK0
체인지업,김원형,나지완,91848,78629,126,볼,,,,1,1,1,1,초,0,0,0,0,우,우,,,이용규,김원형,정상호,이호준,정근우,김연훈,나주환,박재상,김강민,박재홍,,,74163.0,91848,71842,94629,75808,77609,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,3,3,-1,20090822HTSK0
슬라이더,김원형,나지완,91848,78629,124,스트라이크,,,,2,1,1,1,초,0,0,0,0,우,우,,,이용규,김원형,정상호,이호준,정근우,김연훈,나주환,박재상,김강민,박재홍,,,74163.0,91848,71842,94629,75808,77609,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,3,4,-1,20090822HTSK0
슬라이더,김원형,나지완,91848,78629,125,볼,,,,2,2,1,1,초,0,0,0,0,우,우,,,이용규,김원형,정상호,이호준,정근우,김연훈,나주환,박재상,김강민,박재홍,,,74163.0,91848,71842,94629,75808,77609,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,3,5,-1,20090822HTSK0
체인지업,김원형,나지완,91848,78629,125,헛스윙,삼진,삼진,나지완 :  삼진 아웃;,3,2,1,1,초,0,0,0,0,우,우,,,이용규,김원형,정상호,이호준,정근우,김연훈,나주환,박재상,김강민,박재홍,,,74163.0,91848,71842,94629,75808,77609,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,3,6,-1,20090822HTSK0
직구,김원형,최희섭,91848,77623,132,스트라이크,,,,0,0,2,1,초,0,0,0,0,좌,우,,,이용규,김원형,정상호,이호준,정근우,김연훈,나주환,박재상,김강민,박재홍,,,74163.0,91848,71842,94629,75808,77609,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,4,1,-1,20090822HTSK0
포크,김원형,최희섭,91848,77623,120,헛스윙,,,,0,1,2,1,초,0,0,0,0,좌,우,,,이용규,김원형,정상호,이호준,정근우,김연훈,나주환,박재상,김강민,박재홍,,,74163.0,91848,71842,94629,75808,77609,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,4,2,-1,20090822HTSK0
포크,김원형,최희섭,91848,77623,124,볼,,,,0,2,2,1,초,0,0,0,0,좌,우,,,이용규,김원형,정상호,이호준,정근우,김연훈,나주환,박재상,김강민,박재홍,,,74163.0,91848,71842,94629,75808,77609,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,4,3,-1,20090822HTSK0
슬라이더,김원형,최희섭,91848,77623,123,헛스윙,삼진,삼진,최희섭 :  삼진 아웃;,1,2,2,1,초,0,0,0,0,좌,우,,,이용규,김원형,정상호,이호준,정근우,김연훈,나주환,박재상,김강민,박재홍,,,74163.0,91848,71842,94629,75808,77609,73209,71857,71837,96362,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,4,4,-1,20090822HTSK0
슬라이더,로페즈,정근우,79644,75808,130,스트라이크,,,,0,0,0,1,말,0,0,0,0,우,우,,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,5,1,-1,20090822HTSK0
직구,로페즈,정근우,79644,75808,140,볼,,,,0,1,0,1,말,0,0,0,0,우,우,,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,5,2,-1,20090822HTSK0
슬라이더,로페즈,정근우,79644,75808,125,볼,,,,1,1,0,1,말,0,0,0,0,우,우,,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,5,3,-1,20090822HTSK0
슬라이더,로페즈,정근우,79644,75808,128,파울,,,,2,1,0,1,말,0,0,0,0,우,우,,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,5,4,-1,20090822HTSK0
직구,로페즈,정근우,79644,75808,143,타격,필드 아웃,플라이 아웃,정근우 : 우익수 플라이 아웃;,2,2,0,1,말,0,0,1,0,우,우,,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,5,5,-1,20090822HTSK0
직구,로페즈,박재상,79644,71857,142,파울,,,,0,0,1,1,말,0,0,0,0,좌,우,,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,6,1,-1,20090822HTSK0
포크,로페즈,박재상,79644,71857,128,볼,,,,0,1,1,1,말,0,0,0,0,좌,우,,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,6,2,-1,20090822HTSK0
포크,로페즈,박재상,79644,71857,127,파울,,,,1,1,1,1,말,0,0,0,0,좌,우,,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,6,3,-1,20090822HTSK0
직구,로페즈,박재상,79644,71857,141,볼,,,,1,2,1,1,말,0,0,0,0,좌,우,,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,6,4,-1,20090822HTSK0
슬라이더,로페즈,박재상,79644,71857,128,타격,안타,안타,박재상 : 좌중간 1루타;,2,2,1,1,말,0,0,0,0,좌,우,,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,6,5,-1,20090822HTSK0
직구,로페즈,김재현,79644,94107,143,볼,,,,0,0,1,1,말,0,0,0,0,좌,우,박재상,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,71857.0,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,7,1,-1,20090822HTSK0
직구,로페즈,김재현,79644,94107,140,스트라이크,,,,1,0,1,1,말,0,0,0,0,좌,우,박재상,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,71857.0,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,7,2,-1,20090822HTSK0
포크,로페즈,김재현,79644,94107,128,타격,포스 아웃,땅볼 아웃,김재현 : 1루수 땅볼 아웃 (1루수 1루 터치아웃); 1루주자 박재상 :   2루까지 진루;,1,1,1,1,말,0,0,1,0,좌,우,박재상,,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,71857.0,,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,7,3,-1,20090822HTSK0
슬라이더,로페즈,이호준,79644,94629,127,볼,,,,0,0,2,1,말,0,0,0,0,우,우,,박재상,,로페즈,김상훈,최희섭,안치홍,김상현,이현곤,장성호,김원섭,나지완,,71857.0,,79644,70612,77623,79608,70646,72606,96610,71207,78629,,,,,,,,,,,,,,,,,,20090822,SK,HT,SSG,KIA,문학,최규순,8,1,-1,20090822HTSK0
