pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,로페즈,김주찬,79644,70410,142,타격,안타,안타,김주찬 : 중견수 오른쪽 1루타;,0,0,0,1,초,0,0,0,0,우,우,,,,로페즈,이성우,최희섭,안치홍,김상현,이현곤,나지완,이용규,김원섭,,,,79644,71184,77623,79608,70646,72606,78629,74163,71207,,,,,,,,,,,,,,,,,,20100403,HT,LT,KIA,롯데,무등,이기중,1,1,-1,20100403LTHT0
체인지업,로페즈,손아섭,79644,77532,126,타격,필드 아웃,플라이 아웃,손아섭 : 좌익수 플라이 아웃;,0,0,0,1,초,0,0,1,0,좌,우,김주찬,,,로페즈,이성우,최희섭,안치홍,김상현,이현곤,나지완,이용규,김원섭,70410.0,,,79644,71184,77623,79608,70646,72606,78629,74163,71207,,,,,,,,,,,,,,,,,,20100403,HT,LT,KIA,롯데,무등,이기중,2,1,-1,20100403LTHT0
직구,로페즈,조성환,79644,99543,142,스트라이크,,,,0,0,1,1,초,0,0,0,0,우,우,김주찬,,,로페즈,이성우,최희섭,안치홍,김상현,이현곤,나지완,이용규,김원섭,70410.0,,,79644,71184,77623,79608,70646,72606,78629,74163,71207,,,,,,,,,,,,,,,,,,20100403,HT,LT,KIA,롯데,무등,이기중,3,1,-1,20100403LTHT0
커브,로페즈,조성환,79644,99543,123,헛스윙,,,,0,1,1,1,초,0,0,0,0,우,우,김주찬,,,로페즈,이성우,최희섭,안치홍,김상현,이현곤,나지완,이용규,김원섭,70410.0,,,79644,71184,77623,79608,70646,72606,78629,74163,71207,,,,,,,,,,,,,,,,,,20100403,HT,LT,KIA,롯데,무등,이기중,3,2,-1,20100403LTHT0
직구,로페즈,조성환,79644,99543,142,파울,,,,0,2,1,1,초,0,0,0,0,우,우,김주찬,,,로페즈,이성우,최희섭,안치홍,김상현,이현곤,나지완,이용규,김원섭,70410.0,,,79644,71184,77623,79608,70646,72606,78629,74163,71207,,,,,,,,,,,,,,,,,,20100403,HT,LT,KIA,롯데,무등,이기중,3,3,-1,20100403LTHT0
직구,로페즈,조성환,79644,99543,142,볼,,,,0,2,1,1,초,0,0,0,0,우,우,김주찬,,,로페즈,이성우,최희섭,안치홍,김상현,이현곤,나지완,이용규,김원섭,70410.0,,,79644,71184,77623,79608,70646,72606,78629,74163,71207,,,,,,,,,,,,,,,,,,20100403,HT,LT,KIA,롯데,무등,이기중,3,4,-1,20100403LTHT0
,로페즈,조성환,79644,99543,,,,,1루주자 김주찬 :  도루로 2루까지 진루;,1,2,1,1,초,0,0,0,0,우,우,김주찬,,,로페즈,이성우,최희섭,안치홍,김상현,이현곤,나지완,이용규,김원섭,70410.0,,,79644,71184,77623,79608,70646,72606,78629,74163,71207,,,,,,,,,,,,,,,,,,20100403,HT,LT,KIA,롯데,무등,이기중,3,,,20100403LTHT0
커브,로페즈,조성환,79644,99543,128,볼,,,,1,2,1,1,초,0,0,0,0,우,우,,김주찬,,로페즈,이성우,최희섭,안치홍,김상현,이현곤,나지완,이용규,김원섭,,70410.0,,79644,71184,77623,79608,70646,72606,78629,74163,71207,,,,,,,,,,,,,,,,,,20100403,HT,LT,KIA,롯데,무등,이기중,3,5,-1,20100403LTHT0
체인지업,로페즈,조성환,79644,99543,123,볼,,,,2,2,1,1,초,0,0,0,0,우,우,,김주찬,,로페즈,이성우,최희섭,안치홍,김상현,이현곤,나지완,이용규,김원섭,,70410.0,,79644,71184,77623,79608,70646,72606,78629,74163,71207,,,,,,,,,,,,,,,,,,20100403,HT,LT,KIA,롯데,무등,이기중,3,6,-1,20100403LTHT0
슬라이더,로페즈,조성환,79644,99543,126,헛스윙,삼진,삼진,조성환 :  삼진 아웃;,3,2,1,1,초,0,0,0,0,우,우,,김주찬,,로페즈,이성우,최희섭,안치홍,김상현,이현곤,나지완,이용규,김원섭,,70410.0,,79644,71184,77623,79608,70646,72606,78629,74163,71207,,,,,,,,,,,,,,,,,,20100403,HT,LT,KIA,롯데,무등,이기중,3,7,-1,20100403LTHT0
