pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,글로버,이대형,79858,73153,140,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,1,1,-1,20100501LGSK0
커브,글로버,이대형,79858,73153,116,헛스윙,,,,0,1,0,1,초,0,0,0,0,좌,우,,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,1,2,-1,20100501LGSK0
슬라이더,글로버,이대형,79858,73153,126,파울,,,,0,2,0,1,초,0,0,0,0,좌,우,,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,1,3,-1,20100501LGSK0
커브,글로버,이대형,79858,73153,120,볼,,,,0,2,0,1,초,0,0,0,0,좌,우,,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,1,4,-1,20100501LGSK0
슬라이더,글로버,이대형,79858,73153,129,파울,,,,1,2,0,1,초,0,0,0,0,좌,우,,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,1,5,-1,20100501LGSK0
슬라이더,글로버,이대형,79858,73153,127,파울,,,,1,2,0,1,초,0,0,0,0,좌,우,,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,1,6,-1,20100501LGSK0
포크,글로버,이대형,79858,73153,130,파울,,,,1,2,0,1,초,0,0,0,0,좌,우,,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,1,7,-1,20100501LGSK0
커브,글로버,이대형,79858,73153,119,스트라이크,삼진,삼진,이대형 :  삼진 아웃;,1,2,0,1,초,0,0,0,0,좌,우,,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,1,8,-1,20100501LGSK0
직구,글로버,이병규,79858,76100,142,파울,,,,0,0,1,1,초,0,0,0,0,좌,우,,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,2,1,-1,20100501LGSK0
슬라이더,글로버,이병규,79858,76100,128,타격,포스 아웃,땅볼 아웃,이병규 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃);,0,1,1,1,초,0,0,1,0,좌,우,,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,2,2,-1,20100501LGSK0
직구,글로버,박용택,79858,72133,143,타격,번트 안타,번트 안타,박용택 : 투수 앞 번트안타;,0,0,2,1,초,0,0,0,0,좌,우,,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,3,1,-1,20100501LGSK0
슬라이더,글로버,이병규,79858,97109,131,볼,,,,0,0,2,1,초,0,0,0,0,좌,우,박용택,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,72133.0,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,4,1,-1,20100501LGSK0
포크,글로버,이병규,79858,97109,131,타격,포스 아웃,땅볼 아웃,이병규 : 투수 땅볼 아웃 (투수->1루수 송구아웃);,1,0,2,1,초,0,0,1,0,좌,우,박용택,,,글로버,박경완,박정권,정근우,최정,나주환,박재상,김강민,임훈,72133.0,,,79858,92809,74846,75808,75847,73209,71857,71837,74823,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,4,2,-1,20100501LGSK0
슬라이더,곤잘레스,박재상,60154,71857,135,볼,,,,0,0,0,1,말,0,0,0,0,좌,우,,,,곤잘레스,조인성,이진영,박용근,정성훈,오지환,이병규,이대형,이병규,,,,60154,98144,99810,77104,99606,79109,76100,73153,97109,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,5,1,-1,20100501LGSK0
커터,곤잘레스,박재상,60154,71857,133,스트라이크,,,,1,0,0,1,말,0,0,0,0,좌,우,,,,곤잘레스,조인성,이진영,박용근,정성훈,오지환,이병규,이대형,이병규,,,,60154,98144,99810,77104,99606,79109,76100,73153,97109,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,5,2,-1,20100501LGSK0
직구,곤잘레스,박재상,60154,71857,138,파울,,,,1,1,0,1,말,0,0,0,0,좌,우,,,,곤잘레스,조인성,이진영,박용근,정성훈,오지환,이병규,이대형,이병규,,,,60154,98144,99810,77104,99606,79109,76100,73153,97109,,,,,,,,,,,,,,,,,,20100501,SK,LG,SSG,LG,문학,강광회,5,3,-1,20100501LGSK0
