pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,이현승,클락,76329,78725,141,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,좌,,,,이현승,양의지,최준석,고영민,이원석,손시헌,김현수,임재철,이성열,,,,76329,76232,71552,72214,75566,73213,76290,99507,73136,,,,,,,,,,,,,,,,,,20100501,OB,WO,두산,키움,잠실,김정국,1,1,-1,20100501WOOB0
슬라이더,이현승,클락,76329,78725,126,볼,,,,0,1,0,1,초,0,0,0,0,좌,좌,,,,이현승,양의지,최준석,고영민,이원석,손시헌,김현수,임재철,이성열,,,,76329,76232,71552,72214,75566,73213,76290,99507,73136,,,,,,,,,,,,,,,,,,20100501,OB,WO,두산,키움,잠실,김정국,1,2,-1,20100501WOOB0
슬라이더,이현승,클락,76329,78725,127,파울,,,,1,1,0,1,초,0,0,0,0,좌,좌,,,,이현승,양의지,최준석,고영민,이원석,손시헌,김현수,임재철,이성열,,,,76329,76232,71552,72214,75566,73213,76290,99507,73136,,,,,,,,,,,,,,,,,,20100501,OB,WO,두산,키움,잠실,김정국,1,3,-1,20100501WOOB0
슬라이더,이현승,클락,76329,78725,133,파울,,,,1,2,0,1,초,0,0,0,0,좌,좌,,,,이현승,양의지,최준석,고영민,이원석,손시헌,김현수,임재철,이성열,,,,76329,76232,71552,72214,75566,73213,76290,99507,73136,,,,,,,,,,,,,,,,,,20100501,OB,WO,두산,키움,잠실,김정국,1,4,-1,20100501WOOB0
직구,이현승,클락,76329,78725,140,파울,,,,1,2,0,1,초,0,0,0,0,좌,좌,,,,이현승,양의지,최준석,고영민,이원석,손시헌,김현수,임재철,이성열,,,,76329,76232,71552,72214,75566,73213,76290,99507,73136,,,,,,,,,,,,,,,,,,20100501,OB,WO,두산,키움,잠실,김정국,1,5,-1,20100501WOOB0
직구,이현승,클락,76329,78725,137,파울,,,,1,2,0,1,초,0,0,0,0,좌,좌,,,,이현승,양의지,최준석,고영민,이원석,손시헌,김현수,임재철,이성열,,,,76329,76232,71552,72214,75566,73213,76290,99507,73136,,,,,,,,,,,,,,,,,,20100501,OB,WO,두산,키움,잠실,김정국,1,6,-1,20100501WOOB0
커브,이현승,클락,76329,78725,104,볼,,,,1,2,0,1,초,0,0,0,0,좌,좌,,,,이현승,양의지,최준석,고영민,이원석,손시헌,김현수,임재철,이성열,,,,76329,76232,71552,72214,75566,73213,76290,99507,73136,,,,,,,,,,,,,,,,,,20100501,OB,WO,두산,키움,잠실,김정국,1,7,-1,20100501WOOB0
슬라이더,이현승,클락,76329,78725,130,헛스윙,삼진,삼진,클락 :  삼진 아웃;,2,2,0,1,초,0,0,0,0,좌,좌,,,,이현승,양의지,최준석,고영민,이원석,손시헌,김현수,임재철,이성열,,,,76329,76232,71552,72214,75566,73213,76290,99507,73136,,,,,,,,,,,,,,,,,,20100501,OB,WO,두산,키움,잠실,김정국,1,8,-1,20100501WOOB0
직구,이현승,김민우,76329,72303,136,스트라이크,,,,0,0,1,1,초,0,0,0,0,우,좌,,,,이현승,양의지,최준석,고영민,이원석,손시헌,김현수,임재철,이성열,,,,76329,76232,71552,72214,75566,73213,76290,99507,73136,,,,,,,,,,,,,,,,,,20100501,OB,WO,두산,키움,잠실,김정국,2,1,-1,20100501WOOB0
포크,이현승,김민우,76329,72303,126,볼,,,,0,1,1,1,초,0,0,0,0,우,좌,,,,이현승,양의지,최준석,고영민,이원석,손시헌,김현수,임재철,이성열,,,,76329,76232,71552,72214,75566,73213,76290,99507,73136,,,,,,,,,,,,,,,,,,20100501,OB,WO,두산,키움,잠실,김정국,2,2,-1,20100501WOOB0
