pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,봉중근,이용규,77147,74163,134,볼,,,,0,0,0,1,초,0,0,0,0,좌,좌,,,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,1,1,-1,20100509HTLG0
직구,봉중근,이용규,77147,74163,131,파울,,,,1,0,0,1,초,0,0,0,0,좌,좌,,,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,1,2,-1,20100509HTLG0
슬라이더,봉중근,이용규,77147,74163,123,타격,안타,안타,이용규 : 좌익수 왼쪽 1루타;,1,1,0,1,초,0,0,0,0,좌,좌,,,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,1,3,-1,20100509HTLG0
직구,봉중근,이종범,77147,93607,129,볼,,,,0,0,0,1,초,0,0,0,0,우,좌,이용규,,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,74163.0,,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,2,1,-1,20100509HTLG0
직구,봉중근,이종범,77147,93607,130,스트라이크,,,,1,0,0,1,초,0,0,0,0,우,좌,이용규,,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,74163.0,,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,2,2,-1,20100509HTLG0
직구,봉중근,이종범,77147,93607,130,헛스윙,,,,1,1,0,1,초,0,0,0,0,우,좌,이용규,,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,74163.0,,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,2,3,-1,20100509HTLG0
직구,봉중근,이종범,77147,93607,133,볼,,,,1,2,0,1,초,0,0,0,0,우,좌,이용규,,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,74163.0,,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,2,4,-1,20100509HTLG0
직구,봉중근,이종범,77147,93607,131,파울,,,,2,2,0,1,초,0,0,0,0,우,좌,이용규,,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,74163.0,,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,2,5,-1,20100509HTLG0
체인지업,봉중근,이종범,77147,93607,119,볼,,,,2,2,0,1,초,0,0,0,0,우,좌,이용규,,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,74163.0,,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,2,6,-1,20100509HTLG0
직구,봉중근,이종범,77147,93607,131,타격,포스 아웃,땅볼 아웃,이종범 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃); 1루주자 이용규 : 2루까지 진루;,3,2,0,1,초,0,0,1,0,우,좌,이용규,,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,74163.0,,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,2,7,-1,20100509HTLG0
체인지업,봉중근,안치홍,77147,79608,121,헛스윙,,,,0,0,1,1,초,0,0,0,0,우,좌,,이용규,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,74163.0,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,3,1,-1,20100509HTLG0
직구,봉중근,안치홍,77147,79608,132,헛스윙,,,,0,1,1,1,초,0,0,0,0,우,좌,,이용규,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,74163.0,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,3,2,-1,20100509HTLG0
직구,봉중근,안치홍,77147,79608,132,볼,,,,0,2,1,1,초,0,0,0,0,우,좌,,이용규,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,74163.0,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,3,3,-1,20100509HTLG0
직구,봉중근,안치홍,77147,79608,132,파울,,,,1,2,1,1,초,0,0,0,0,우,좌,,이용규,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,74163.0,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,3,4,-1,20100509HTLG0
커브,봉중근,안치홍,77147,79608,116,볼,,,,1,2,1,1,초,0,0,0,0,우,좌,,이용규,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,74163.0,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,3,5,-1,20100509HTLG0
직구,봉중근,안치홍,77147,79608,133,파울,,,,2,2,1,1,초,0,0,0,0,우,좌,,이용규,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,74163.0,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,3,6,-1,20100509HTLG0
체인지업,봉중근,안치홍,77147,79608,121,볼,,,,2,2,1,1,초,0,0,0,0,우,좌,,이용규,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,74163.0,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,3,7,-1,20100509HTLG0
체인지업,봉중근,안치홍,77147,79608,117,파울,,,,3,2,1,1,초,0,0,0,0,우,좌,,이용규,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,74163.0,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,3,8,-1,20100509HTLG0
직구,봉중근,안치홍,77147,79608,130,타격,필드 아웃,플라이 아웃,안치홍 : 중견수 플라이 아웃;,3,2,1,1,초,0,0,1,0,우,좌,,이용규,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,74163.0,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,3,9,-1,20100509HTLG0
직구,봉중근,최희섭,77147,77623,132,타격,필드 아웃,플라이 아웃,최희섭 : 중견수 플라이 아웃;,0,0,2,1,초,0,0,1,0,좌,좌,,이용규,,봉중근,조인성,최동수,박경수,김태완,오지환,이병규,이대형,이진영,,74163.0,,77147,98144,94132,73113,74158,79109,76100,73153,99810,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,4,1,-1,20100509HTLG0
직구,콜론,이대형,60697,73153,140,볼,,,,0,0,0,1,말,0,0,0,0,좌,우,,,,콜론,차일목,최희섭,안치홍,박기남,김선빈,김원섭,이용규,이종범,,,,60697,73602,77623,79608,74103,78603,71207,74163,93607,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,5,1,-1,20100509HTLG0
직구,콜론,이대형,60697,73153,137,스트라이크,,,,1,0,0,1,말,0,0,0,0,좌,우,,,,콜론,차일목,최희섭,안치홍,박기남,김선빈,김원섭,이용규,이종범,,,,60697,73602,77623,79608,74103,78603,71207,74163,93607,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,5,2,-1,20100509HTLG0
슬라이더,콜론,이대형,60697,73153,123,볼,,,,1,1,0,1,말,0,0,0,0,좌,우,,,,콜론,차일목,최희섭,안치홍,박기남,김선빈,김원섭,이용규,이종범,,,,60697,73602,77623,79608,74103,78603,71207,74163,93607,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,5,3,-1,20100509HTLG0
직구,콜론,이대형,60697,73153,140,타격,2루타,2루타,이대형 : 좌익수 오른쪽 2루타;,2,1,0,1,말,0,0,0,0,좌,우,,,,콜론,차일목,최희섭,안치홍,박기남,김선빈,김원섭,이용규,이종범,,,,60697,73602,77623,79608,74103,78603,71207,74163,93607,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,5,4,-1,20100509HTLG0
직구,콜론,이병규,60697,76100,142,스트라이크,,,,0,0,0,1,말,0,0,0,0,좌,우,,이대형,,콜론,차일목,최희섭,안치홍,박기남,김선빈,김원섭,이용규,이종범,,73153.0,,60697,73602,77623,79608,74103,78603,71207,74163,93607,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,6,1,-1,20100509HTLG0
직구,콜론,이병규,60697,76100,141,번트파울,,,,0,1,0,1,말,0,0,0,0,좌,우,,이대형,,콜론,차일목,최희섭,안치홍,박기남,김선빈,김원섭,이용규,이종범,,73153.0,,60697,73602,77623,79608,74103,78603,71207,74163,93607,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,6,2,-1,20100509HTLG0
직구,콜론,이병규,60697,76100,140,스트라이크,삼진,삼진,이병규 :  삼진 아웃;,0,2,0,1,말,0,0,0,0,좌,우,,이대형,,콜론,차일목,최희섭,안치홍,박기남,김선빈,김원섭,이용규,이종범,,73153.0,,60697,73602,77623,79608,74103,78603,71207,74163,93607,,,,,,,,,,,,,,,,,,20100509,LG,HT,LG,KIA,잠실,추평호,6,3,-1,20100509HTLG0
