pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,김선우,오정복,78232,79453,136,스트라이크,,,,0,0,0,1,초,0,0,0,0,우,우,,,,김선우,양의지,최준석,오재원,이원석,손시헌,김현수,이종욱,이성열,,,,78232,76232,71552,77248,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100528,OB,SS,두산,삼성,잠실,원현식,1,1,-1,20100528SSOB0
커브,김선우,오정복,78232,79453,113,볼,,,,0,1,0,1,초,0,0,0,0,우,우,,,,김선우,양의지,최준석,오재원,이원석,손시헌,김현수,이종욱,이성열,,,,78232,76232,71552,77248,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100528,OB,SS,두산,삼성,잠실,원현식,1,2,-1,20100528SSOB0
직구,김선우,오정복,78232,79453,139,타격,필드 아웃,플라이 아웃,오정복 : 중견수 플라이 아웃;,1,1,0,1,초,0,0,1,0,우,우,,,,김선우,양의지,최준석,오재원,이원석,손시헌,김현수,이종욱,이성열,,,,78232,76232,71552,77248,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100528,OB,SS,두산,삼성,잠실,원현식,1,3,-1,20100528SSOB0
직구,김선우,신명철,78232,71504,135,스트라이크,,,,0,0,1,1,초,0,0,0,0,우,우,,,,김선우,양의지,최준석,오재원,이원석,손시헌,김현수,이종욱,이성열,,,,78232,76232,71552,77248,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100528,OB,SS,두산,삼성,잠실,원현식,2,1,-1,20100528SSOB0
직구,김선우,신명철,78232,71504,137,볼,,,,0,1,1,1,초,0,0,0,0,우,우,,,,김선우,양의지,최준석,오재원,이원석,손시헌,김현수,이종욱,이성열,,,,78232,76232,71552,77248,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100528,OB,SS,두산,삼성,잠실,원현식,2,2,-1,20100528SSOB0
직구,김선우,신명철,78232,71504,139,헛스윙,,,,1,1,1,1,초,0,0,0,0,우,우,,,,김선우,양의지,최준석,오재원,이원석,손시헌,김현수,이종욱,이성열,,,,78232,76232,71552,77248,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100528,OB,SS,두산,삼성,잠실,원현식,2,3,-1,20100528SSOB0
직구,김선우,신명철,78232,71504,136,볼,,,,1,2,1,1,초,0,0,0,0,우,우,,,,김선우,양의지,최준석,오재원,이원석,손시헌,김현수,이종욱,이성열,,,,78232,76232,71552,77248,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100528,OB,SS,두산,삼성,잠실,원현식,2,4,-1,20100528SSOB0
직구,김선우,신명철,78232,71504,134,볼,,,,2,2,1,1,초,0,0,0,0,우,우,,,,김선우,양의지,최준석,오재원,이원석,손시헌,김현수,이종욱,이성열,,,,78232,76232,71552,77248,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100528,OB,SS,두산,삼성,잠실,원현식,2,5,-1,20100528SSOB0
직구,김선우,신명철,78232,71504,136,볼,볼넷,볼넷,신명철 :  볼넷;,3,2,1,1,초,0,0,0,0,우,우,,,,김선우,양의지,최준석,오재원,이원석,손시헌,김현수,이종욱,이성열,,,,78232,76232,71552,77248,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100528,OB,SS,두산,삼성,잠실,원현식,2,6,-1,20100528SSOB0
직구,김선우,강봉규,78232,70224,136,헛스윙,,,,0,0,1,1,초,0,0,0,0,우,우,신명철,,,김선우,양의지,최준석,오재원,이원석,손시헌,김현수,이종욱,이성열,71504.0,,,78232,76232,71552,77248,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100528,OB,SS,두산,삼성,잠실,원현식,3,1,-1,20100528SSOB0
직구,김선우,강봉규,78232,70224,136,헛스윙,,,,0,1,1,1,초,0,0,0,0,우,우,신명철,,,김선우,양의지,최준석,오재원,이원석,손시헌,김현수,이종욱,이성열,71504.0,,,78232,76232,71552,77248,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100528,OB,SS,두산,삼성,잠실,원현식,3,2,-1,20100528SSOB0
,김선우,강봉규,78232,70224,,,,,1루주자 신명철 :  도루실패아웃 (포수->유격수 태그아웃);,0,2,1,1,초,0,0,1,0,우,우,신명철,,,김선우,양의지,최준석,오재원,이원석,손시헌,김현수,이종욱,이성열,71504.0,,,78232,76232,71552,77248,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100528,OB,SS,두산,삼성,잠실,원현식,3,,,20100528SSOB0
