pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,김상수,이대형,76430,73153,135,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,우,,,,김상수,유선정,이숭용,김민우,황재균,강정호,클락,장기영,유한준,,,,76430,76322,94310,72303,76313,76325,78725,71347,74339,,,,,,,,,,,,,,,,,,20100529,WO,LG,키움,LG,목동,김풍기,1,1,-1,20100529LGWO0
체인지업,김상수,이대형,76430,73153,118,스트라이크,,,,0,1,0,1,초,0,0,0,0,좌,우,,,,김상수,유선정,이숭용,김민우,황재균,강정호,클락,장기영,유한준,,,,76430,76322,94310,72303,76313,76325,78725,71347,74339,,,,,,,,,,,,,,,,,,20100529,WO,LG,키움,LG,목동,김풍기,1,2,-1,20100529LGWO0
체인지업,김상수,이대형,76430,73153,124,타격,포스 아웃,땅볼 아웃,이대형 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃);,0,2,0,1,초,0,0,1,0,좌,우,,,,김상수,유선정,이숭용,김민우,황재균,강정호,클락,장기영,유한준,,,,76430,76322,94310,72303,76313,76325,78725,71347,74339,,,,,,,,,,,,,,,,,,20100529,WO,LG,키움,LG,목동,김풍기,1,3,-1,20100529LGWO0
체인지업,김상수,이병규,76430,76100,117,볼,,,,0,0,1,1,초,0,0,0,0,좌,우,,,,김상수,유선정,이숭용,김민우,황재균,강정호,클락,장기영,유한준,,,,76430,76322,94310,72303,76313,76325,78725,71347,74339,,,,,,,,,,,,,,,,,,20100529,WO,LG,키움,LG,목동,김풍기,2,1,-1,20100529LGWO0
체인지업,김상수,이병규,76430,76100,117,파울,,,,1,0,1,1,초,0,0,0,0,좌,우,,,,김상수,유선정,이숭용,김민우,황재균,강정호,클락,장기영,유한준,,,,76430,76322,94310,72303,76313,76325,78725,71347,74339,,,,,,,,,,,,,,,,,,20100529,WO,LG,키움,LG,목동,김풍기,2,2,-1,20100529LGWO0
직구,김상수,이병규,76430,76100,145,파울,,,,1,1,1,1,초,0,0,0,0,좌,우,,,,김상수,유선정,이숭용,김민우,황재균,강정호,클락,장기영,유한준,,,,76430,76322,94310,72303,76313,76325,78725,71347,74339,,,,,,,,,,,,,,,,,,20100529,WO,LG,키움,LG,목동,김풍기,2,3,-1,20100529LGWO0
포크,김상수,이병규,76430,76100,124,볼,,,,1,2,1,1,초,0,0,0,0,좌,우,,,,김상수,유선정,이숭용,김민우,황재균,강정호,클락,장기영,유한준,,,,76430,76322,94310,72303,76313,76325,78725,71347,74339,,,,,,,,,,,,,,,,,,20100529,WO,LG,키움,LG,목동,김풍기,2,4,-1,20100529LGWO0
직구,김상수,이병규,76430,76100,143,볼,,,,2,2,1,1,초,0,0,0,0,좌,우,,,,김상수,유선정,이숭용,김민우,황재균,강정호,클락,장기영,유한준,,,,76430,76322,94310,72303,76313,76325,78725,71347,74339,,,,,,,,,,,,,,,,,,20100529,WO,LG,키움,LG,목동,김풍기,2,5,-1,20100529LGWO0
직구,김상수,이병규,76430,76100,144,파울,,,,3,2,1,1,초,0,0,0,0,좌,우,,,,김상수,유선정,이숭용,김민우,황재균,강정호,클락,장기영,유한준,,,,76430,76322,94310,72303,76313,76325,78725,71347,74339,,,,,,,,,,,,,,,,,,20100529,WO,LG,키움,LG,목동,김풍기,2,6,-1,20100529LGWO0
직구,김상수,이병규,76430,76100,145,파울,,,,3,2,1,1,초,0,0,0,0,좌,우,,,,김상수,유선정,이숭용,김민우,황재균,강정호,클락,장기영,유한준,,,,76430,76322,94310,72303,76313,76325,78725,71347,74339,,,,,,,,,,,,,,,,,,20100529,WO,LG,키움,LG,목동,김풍기,2,7,-1,20100529LGWO0
