pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,류현진,김주찬,76715,70410,136,파울,,,,0,0,0,1,초,0,0,0,0,우,좌,,,,류현진,신경현,장성호,정원석,전현태,이대수,최진행,김경언,강동우,,,,76715,98742,96610,70240,75706,72860,74729,71610,98420,,,,,,,,,,,,,,,,,,20100721,HH,LT,한화,롯데,한밭,박기택,1,1,-1,20100721LTHH0
체인지업,류현진,김주찬,76715,70410,123,타격,필드 아웃,파울 플라이 아웃,김주찬 : 1루수 파울플라이 아웃;,0,1,0,1,초,0,0,1,0,우,좌,,,,류현진,신경현,장성호,정원석,전현태,이대수,최진행,김경언,강동우,,,,76715,98742,96610,70240,75706,72860,74729,71610,98420,,,,,,,,,,,,,,,,,,20100721,HH,LT,한화,롯데,한밭,박기택,1,2,-1,20100721LTHH0
커브,류현진,조성환,76715,99543,108,스트라이크,,,,0,0,1,1,초,0,0,0,0,우,좌,,,,류현진,신경현,장성호,정원석,전현태,이대수,최진행,김경언,강동우,,,,76715,98742,96610,70240,75706,72860,74729,71610,98420,,,,,,,,,,,,,,,,,,20100721,HH,LT,한화,롯데,한밭,박기택,2,1,-1,20100721LTHH0
직구,류현진,조성환,76715,99543,138,볼,,,,0,1,1,1,초,0,0,0,0,우,좌,,,,류현진,신경현,장성호,정원석,전현태,이대수,최진행,김경언,강동우,,,,76715,98742,96610,70240,75706,72860,74729,71610,98420,,,,,,,,,,,,,,,,,,20100721,HH,LT,한화,롯데,한밭,박기택,2,2,-1,20100721LTHH0
직구,류현진,조성환,76715,99543,137,타격,포스 아웃,땅볼 아웃,조성환 : 1루수 땅볼 아웃 (1루수->투수 1루 터치아웃);,1,1,1,1,초,0,0,1,0,우,좌,,,,류현진,신경현,장성호,정원석,전현태,이대수,최진행,김경언,강동우,,,,76715,98742,96610,70240,75706,72860,74729,71610,98420,,,,,,,,,,,,,,,,,,20100721,HH,LT,한화,롯데,한밭,박기택,2,3,-1,20100721LTHH0
직구,류현진,홍성흔,76715,99222,140,볼,,,,0,0,2,1,초,0,0,0,0,우,좌,,,,류현진,신경현,장성호,정원석,전현태,이대수,최진행,김경언,강동우,,,,76715,98742,96610,70240,75706,72860,74729,71610,98420,,,,,,,,,,,,,,,,,,20100721,HH,LT,한화,롯데,한밭,박기택,3,1,-1,20100721LTHH0
직구,류현진,홍성흔,76715,99222,143,볼,,,,1,0,2,1,초,0,0,0,0,우,좌,,,,류현진,신경현,장성호,정원석,전현태,이대수,최진행,김경언,강동우,,,,76715,98742,96610,70240,75706,72860,74729,71610,98420,,,,,,,,,,,,,,,,,,20100721,HH,LT,한화,롯데,한밭,박기택,3,2,-1,20100721LTHH0
직구,류현진,홍성흔,76715,99222,138,타격,필드 아웃,파울 플라이 아웃,홍성흔 : 2루수 파울플라이 아웃;,2,0,2,1,초,0,0,1,0,우,좌,,,,류현진,신경현,장성호,정원석,전현태,이대수,최진행,김경언,강동우,,,,76715,98742,96610,70240,75706,72860,74729,71610,98420,,,,,,,,,,,,,,,,,,20100721,HH,LT,한화,롯데,한밭,박기택,3,3,-1,20100721LTHH0
직구,이재곤,김경언,77566,71610,134,스트라이크,,,,0,0,0,1,말,0,0,0,0,좌,우,,,,이재곤,강민호,김주찬,조성환,이대호,문규현,정보명,전준우,가르시아,,,,77566,74540,70410,99543,71564,72546,73513,78513,78595,,,,,,,,,,,,,,,,,,20100721,HH,LT,한화,롯데,한밭,박기택,4,1,-1,20100721LTHH0
직구,이재곤,김경언,77566,71610,138,볼,,,,0,1,0,1,말,0,0,0,0,좌,우,,,,이재곤,강민호,김주찬,조성환,이대호,문규현,정보명,전준우,가르시아,,,,77566,74540,70410,99543,71564,72546,73513,78513,78595,,,,,,,,,,,,,,,,,,20100721,HH,LT,한화,롯데,한밭,박기택,4,2,-1,20100721LTHH0
