pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,콜론,이택근,60697,73342,145,볼,,,,0,0,0,1,초,0,0,0,0,우,우,,,,콜론,김상훈,최희섭,안치홍,김상현,김선빈,김원섭,이용규,신종길,,,,60697,70612,77623,79608,70646,78603,71207,74163,72559,,,,,,,,,,,,,,,,,,20100805,HT,LG,KIA,LG,무등,김풍기,1,1,-1,20100805LGHT0
직구,콜론,이택근,60697,73342,147,타격,필드 아웃,플라이 아웃,이택근 : 2루수 플라이 아웃;,1,0,0,1,초,0,0,1,0,우,우,,,,콜론,김상훈,최희섭,안치홍,김상현,김선빈,김원섭,이용규,신종길,,,,60697,70612,77623,79608,70646,78603,71207,74163,72559,,,,,,,,,,,,,,,,,,20100805,HT,LG,KIA,LG,무등,김풍기,1,2,-1,20100805LGHT0
직구,콜론,이대형,60697,73153,147,파울,,,,0,0,1,1,초,0,0,0,0,좌,우,,,,콜론,김상훈,최희섭,안치홍,김상현,김선빈,김원섭,이용규,신종길,,,,60697,70612,77623,79608,70646,78603,71207,74163,72559,,,,,,,,,,,,,,,,,,20100805,HT,LG,KIA,LG,무등,김풍기,2,1,-1,20100805LGHT0
싱커,콜론,이대형,60697,73153,137,볼,,,,0,1,1,1,초,0,0,0,0,좌,우,,,,콜론,김상훈,최희섭,안치홍,김상현,김선빈,김원섭,이용규,신종길,,,,60697,70612,77623,79608,70646,78603,71207,74163,72559,,,,,,,,,,,,,,,,,,20100805,HT,LG,KIA,LG,무등,김풍기,2,2,-1,20100805LGHT0
싱커,콜론,이대형,60697,73153,137,헛스윙,,,,1,1,1,1,초,0,0,0,0,좌,우,,,,콜론,김상훈,최희섭,안치홍,김상현,김선빈,김원섭,이용규,신종길,,,,60697,70612,77623,79608,70646,78603,71207,74163,72559,,,,,,,,,,,,,,,,,,20100805,HT,LG,KIA,LG,무등,김풍기,2,3,-1,20100805LGHT0
직구,콜론,이대형,60697,73153,148,파울,,,,1,2,1,1,초,0,0,0,0,좌,우,,,,콜론,김상훈,최희섭,안치홍,김상현,김선빈,김원섭,이용규,신종길,,,,60697,70612,77623,79608,70646,78603,71207,74163,72559,,,,,,,,,,,,,,,,,,20100805,HT,LG,KIA,LG,무등,김풍기,2,4,-1,20100805LGHT0
싱커,콜론,이대형,60697,73153,135,볼,,,,1,2,1,1,초,0,0,0,0,좌,우,,,,콜론,김상훈,최희섭,안치홍,김상현,김선빈,김원섭,이용규,신종길,,,,60697,70612,77623,79608,70646,78603,71207,74163,72559,,,,,,,,,,,,,,,,,,20100805,HT,LG,KIA,LG,무등,김풍기,2,5,-1,20100805LGHT0
싱커,콜론,이대형,60697,73153,136,타격,필드 아웃,라인드라이브 아웃,이대형 : 2루수 라인드라이브 아웃;,2,2,1,1,초,0,0,1,0,좌,우,,,,콜론,김상훈,최희섭,안치홍,김상현,김선빈,김원섭,이용규,신종길,,,,60697,70612,77623,79608,70646,78603,71207,74163,72559,,,,,,,,,,,,,,,,,,20100805,HT,LG,KIA,LG,무등,김풍기,2,6,-1,20100805LGHT0
싱커,콜론,박용택,60697,72133,137,볼,,,,0,0,2,1,초,0,0,0,0,좌,우,,,,콜론,김상훈,최희섭,안치홍,김상현,김선빈,김원섭,이용규,신종길,,,,60697,70612,77623,79608,70646,78603,71207,74163,72559,,,,,,,,,,,,,,,,,,20100805,HT,LG,KIA,LG,무등,김풍기,3,1,-1,20100805LGHT0
싱커,콜론,박용택,60697,72133,137,스트라이크,,,,1,0,2,1,초,0,0,0,0,좌,우,,,,콜론,김상훈,최희섭,안치홍,김상현,김선빈,김원섭,이용규,신종길,,,,60697,70612,77623,79608,70646,78603,71207,74163,72559,,,,,,,,,,,,,,,,,,20100805,HT,LG,KIA,LG,무등,김풍기,3,2,-1,20100805LGHT0
