pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,임태훈,김주찬,77251,70410,140,볼,,,,0,0,0,1,초,0,0,0,0,우,우,,,,임태훈,양의지,오재원,고영민,이원석,손시헌,김현수,이종욱,이성열,,,,77251,76232,77248,72214,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100805,OB,LT,두산,롯데,잠실,박근영,1,1,-1,20100805LTOB0
슬라이더,임태훈,김주찬,77251,70410,128,헛스윙,,,,1,0,0,1,초,0,0,0,0,우,우,,,,임태훈,양의지,오재원,고영민,이원석,손시헌,김현수,이종욱,이성열,,,,77251,76232,77248,72214,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100805,OB,LT,두산,롯데,잠실,박근영,1,2,-1,20100805LTOB0
직구,임태훈,김주찬,77251,70410,140,헛스윙,,,,1,1,0,1,초,0,0,0,0,우,우,,,,임태훈,양의지,오재원,고영민,이원석,손시헌,김현수,이종욱,이성열,,,,77251,76232,77248,72214,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100805,OB,LT,두산,롯데,잠실,박근영,1,3,-1,20100805LTOB0
슬라이더,임태훈,김주찬,77251,70410,129,볼,,,,1,2,0,1,초,0,0,0,0,우,우,,,,임태훈,양의지,오재원,고영민,이원석,손시헌,김현수,이종욱,이성열,,,,77251,76232,77248,72214,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100805,OB,LT,두산,롯데,잠실,박근영,1,4,-1,20100805LTOB0
직구,임태훈,김주찬,77251,70410,142,파울,,,,2,2,0,1,초,0,0,0,0,우,우,,,,임태훈,양의지,오재원,고영민,이원석,손시헌,김현수,이종욱,이성열,,,,77251,76232,77248,72214,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100805,OB,LT,두산,롯데,잠실,박근영,1,5,-1,20100805LTOB0
직구,임태훈,김주찬,77251,70410,144,스트라이크,삼진,삼진,김주찬 :  삼진 아웃;,2,2,0,1,초,0,0,0,0,우,우,,,,임태훈,양의지,오재원,고영민,이원석,손시헌,김현수,이종욱,이성열,,,,77251,76232,77248,72214,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100805,OB,LT,두산,롯데,잠실,박근영,1,6,-1,20100805LTOB0
슬라이더,임태훈,조성환,77251,99543,129,볼,,,,0,0,1,1,초,0,0,0,0,우,우,,,,임태훈,양의지,오재원,고영민,이원석,손시헌,김현수,이종욱,이성열,,,,77251,76232,77248,72214,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100805,OB,LT,두산,롯데,잠실,박근영,2,1,-1,20100805LTOB0
슬라이더,임태훈,조성환,77251,99543,127,헛스윙,,,,1,0,1,1,초,0,0,0,0,우,우,,,,임태훈,양의지,오재원,고영민,이원석,손시헌,김현수,이종욱,이성열,,,,77251,76232,77248,72214,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100805,OB,LT,두산,롯데,잠실,박근영,2,2,-1,20100805LTOB0
직구,임태훈,조성환,77251,99543,145,스트라이크,,,,1,1,1,1,초,0,0,0,0,우,우,,,,임태훈,양의지,오재원,고영민,이원석,손시헌,김현수,이종욱,이성열,,,,77251,76232,77248,72214,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100805,OB,LT,두산,롯데,잠실,박근영,2,3,-1,20100805LTOB0
직구,임태훈,조성환,77251,99543,144,헛스윙,삼진,삼진,조성환 :  삼진 아웃;,1,2,1,1,초,0,0,0,0,우,우,,,,임태훈,양의지,오재원,고영민,이원석,손시헌,김현수,이종욱,이성열,,,,77251,76232,77248,72214,75566,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100805,OB,LT,두산,롯데,잠실,박근영,2,4,-1,20100805LTOB0
