pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
,히메네스,정근우,60240,75808,0,스트라이크,,,,0,0,0,1,초,0,0,0,0,우,우,,,,히메네스,양의지,최준석,고영민,김재호,손시헌,김현수,이종욱,이성열,,,,60240,76232,71552,72214,74206,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100901,OB,SK,두산,SSG,잠실,이영재,1,1,-1,20100901SKOB0
,히메네스,정근우,60240,75808,0,타격,내야안타,내야안타,정근우 : 2루수 왼쪽 내야안타;,0,1,0,1,초,0,0,0,0,우,우,,,,히메네스,양의지,최준석,고영민,김재호,손시헌,김현수,이종욱,이성열,,,,60240,76232,71552,72214,74206,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100901,OB,SK,두산,SSG,잠실,이영재,1,2,-1,20100901SKOB0
,히메네스,임훈,60240,74823,0,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,우,정근우,,,히메네스,양의지,최준석,고영민,김재호,손시헌,김현수,이종욱,이성열,75808.0,,,60240,76232,71552,72214,74206,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100901,OB,SK,두산,SSG,잠실,이영재,2,1,-1,20100901SKOB0
,히메네스,임훈,60240,74823,,,,,1루주자 정근우 :  도루로 2루까지 진루;,0,1,0,1,초,0,0,0,0,좌,우,정근우,,,히메네스,양의지,최준석,고영민,김재호,손시헌,김현수,이종욱,이성열,75808.0,,,60240,76232,71552,72214,74206,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100901,OB,SK,두산,SSG,잠실,이영재,2,,,20100901SKOB0
,히메네스,임훈,60240,74823,0,볼,,,,0,1,0,1,초,0,0,0,0,좌,우,,정근우,,히메네스,양의지,최준석,고영민,김재호,손시헌,김현수,이종욱,이성열,,75808.0,,60240,76232,71552,72214,74206,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100901,OB,SK,두산,SSG,잠실,이영재,2,2,-1,20100901SKOB0
,히메네스,임훈,60240,74823,0,타격,희생번트,희생번트,임훈 : 투수 희생번트 아웃 (투수->2루수 1루 터치아웃); 2루주자 정근우 : 3루까지 진루;,1,1,0,1,초,0,0,1,0,좌,우,,정근우,,히메네스,양의지,최준석,고영민,김재호,손시헌,김현수,이종욱,이성열,,75808.0,,60240,76232,71552,72214,74206,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100901,OB,SK,두산,SSG,잠실,이영재,2,3,-1,20100901SKOB0
,히메네스,박정권,60240,74846,0,타격,안타,안타,박정권 : 우익수 앞 1루타; 3루주자 정근우 : 홈인;,0,0,1,1,초,0,0,0,1,좌,우,,,정근우,히메네스,양의지,최준석,고영민,김재호,손시헌,김현수,이종욱,이성열,,,75808.0,60240,76232,71552,72214,74206,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100901,OB,SK,두산,SSG,잠실,이영재,3,1,-1,20100901SKOB0
,히메네스,이호준,60240,94629,0,스트라이크,,,,0,0,1,1,초,1,0,0,0,우,우,박정권,,,히메네스,양의지,최준석,고영민,김재호,손시헌,김현수,이종욱,이성열,74846.0,,,60240,76232,71552,72214,74206,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100901,OB,SK,두산,SSG,잠실,이영재,4,1,-1,20100901SKOB0
,히메네스,이호준,60240,94629,0,볼,,,,0,1,1,1,초,1,0,0,0,우,우,박정권,,,히메네스,양의지,최준석,고영민,김재호,손시헌,김현수,이종욱,이성열,74846.0,,,60240,76232,71552,72214,74206,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100901,OB,SK,두산,SSG,잠실,이영재,4,2,-1,20100901SKOB0
,히메네스,이호준,60240,94629,0,타격,안타,안타,이호준 : 좌중간 1루타; 1루주자 박정권 : 2루까지 진루;,1,1,1,1,초,1,0,0,0,우,우,박정권,,,히메네스,양의지,최준석,고영민,김재호,손시헌,김현수,이종욱,이성열,74846.0,,,60240,76232,71552,72214,74206,73213,76290,73339,73136,,,,,,,,,,,,,,,,,,20100901,OB,SK,두산,SSG,잠실,이영재,4,3,-1,20100901SKOB0
