pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,코리,강동우,61541,98420,141,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,,,,,코리,강민호,이대호,조성환,전준우,황재균,정보명,이승화,김주찬,,,,61541,74540,71564,99543,78513,76313,73513,71565,70410,,,,,,,,,,,,,,,,,,20110402,LT,HH,롯데,한화,사직,나광남,1,1,-1,20110402HHLT0
직구,코리,강동우,61541,98420,142,볼,,,,0,1,0,1,초,0,0,0,0,좌,,,,,코리,강민호,이대호,조성환,전준우,황재균,정보명,이승화,김주찬,,,,61541,74540,71564,99543,78513,76313,73513,71565,70410,,,,,,,,,,,,,,,,,,20110402,LT,HH,롯데,한화,사직,나광남,1,2,-1,20110402HHLT0
체인지업,코리,강동우,61541,98420,125,헛스윙,,,,1,1,0,1,초,0,0,0,0,좌,,,,,코리,강민호,이대호,조성환,전준우,황재균,정보명,이승화,김주찬,,,,61541,74540,71564,99543,78513,76313,73513,71565,70410,,,,,,,,,,,,,,,,,,20110402,LT,HH,롯데,한화,사직,나광남,1,3,-1,20110402HHLT0
체인지업,코리,강동우,61541,98420,125,볼,,,,1,2,0,1,초,0,0,0,0,좌,,,,,코리,강민호,이대호,조성환,전준우,황재균,정보명,이승화,김주찬,,,,61541,74540,71564,99543,78513,76313,73513,71565,70410,,,,,,,,,,,,,,,,,,20110402,LT,HH,롯데,한화,사직,나광남,1,4,-1,20110402HHLT0
직구,코리,강동우,61541,98420,142,스트라이크,삼진,삼진,강동우 :  삼진 아웃;,2,2,0,1,초,0,0,0,0,좌,,,,,코리,강민호,이대호,조성환,전준우,황재균,정보명,이승화,김주찬,,,,61541,74540,71564,99543,78513,76313,73513,71565,70410,,,,,,,,,,,,,,,,,,20110402,LT,HH,롯데,한화,사직,나광남,1,5,-1,20110402HHLT0
직구,코리,전현태,61541,75706,142,타격,필드 아웃,파울 플라이 아웃,전현태 : 3루수 파울플라이 아웃;,0,0,1,1,초,0,0,1,0,좌,,,,,코리,강민호,이대호,조성환,전준우,황재균,정보명,이승화,김주찬,,,,61541,74540,71564,99543,78513,76313,73513,71565,70410,,,,,,,,,,,,,,,,,,20110402,LT,HH,롯데,한화,사직,나광남,2,1,-1,20110402HHLT0
슬라이더,코리,김경언,61541,71610,133,스트라이크,,,,0,0,2,1,초,0,0,0,0,좌,,,,,코리,강민호,이대호,조성환,전준우,황재균,정보명,이승화,김주찬,,,,61541,74540,71564,99543,78513,76313,73513,71565,70410,,,,,,,,,,,,,,,,,,20110402,LT,HH,롯데,한화,사직,나광남,3,1,-1,20110402HHLT0
직구,코리,김경언,61541,71610,144,볼,,,,0,1,2,1,초,0,0,0,0,좌,,,,,코리,강민호,이대호,조성환,전준우,황재균,정보명,이승화,김주찬,,,,61541,74540,71564,99543,78513,76313,73513,71565,70410,,,,,,,,,,,,,,,,,,20110402,LT,HH,롯데,한화,사직,나광남,3,2,-1,20110402HHLT0
체인지업,코리,김경언,61541,71610,127,볼,,,,1,1,2,1,초,0,0,0,0,좌,,,,,코리,강민호,이대호,조성환,전준우,황재균,정보명,이승화,김주찬,,,,61541,74540,71564,99543,78513,76313,73513,71565,70410,,,,,,,,,,,,,,,,,,20110402,LT,HH,롯데,한화,사직,나광남,3,3,-1,20110402HHLT0
커터,코리,김경언,61541,71610,126,헛스윙,,,,2,1,2,1,초,0,0,0,0,좌,,,,,코리,강민호,이대호,조성환,전준우,황재균,정보명,이승화,김주찬,,,,61541,74540,71564,99543,78513,76313,73513,71565,70410,,,,,,,,,,,,,,,,,,20110402,LT,HH,롯데,한화,사직,나광남,3,4,-1,20110402HHLT0
