pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,정인욱,이종욱,79440,73339,137,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,,,,,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,,,,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,1,1,-1,20110416OBSS0
직구,정인욱,이종욱,79440,73339,135,볼,,,,0,1,0,1,초,0,0,0,0,좌,,,,,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,,,,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,1,2,-1,20110416OBSS0
슬라이더,정인욱,이종욱,79440,73339,124,파울,,,,1,1,0,1,초,0,0,0,0,좌,,,,,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,,,,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,1,3,-1,20110416OBSS0
직구,정인욱,이종욱,79440,73339,136,타격,안타,안타,이종욱 : 우익수 앞 1루타;,1,2,0,1,초,0,0,0,0,좌,,,,,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,,,,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,1,4,-1,20110416OBSS0
직구,정인욱,정수빈,79440,79231,136,파울,,,,0,0,0,1,초,0,0,0,0,좌,,이종욱,,,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,73339.0,,,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,2,1,-1,20110416OBSS0
체인지업,정인욱,정수빈,79440,79231,127,헛스윙,,,,0,1,0,1,초,0,0,0,0,좌,,이종욱,,,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,73339.0,,,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,2,2,-1,20110416OBSS0
직구,정인욱,정수빈,79440,79231,140,볼,,,,0,2,0,1,초,0,0,0,0,좌,,이종욱,,,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,73339.0,,,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,2,3,-1,20110416OBSS0
슬라이더,정인욱,정수빈,79440,79231,121,파울,,,,1,2,0,1,초,0,0,0,0,좌,,이종욱,,,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,73339.0,,,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,2,4,-1,20110416OBSS0
직구,정인욱,정수빈,79440,79231,138,파울,,,,1,2,0,1,초,0,0,0,0,좌,,이종욱,,,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,73339.0,,,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,2,5,-1,20110416OBSS0
직구,정인욱,정수빈,79440,79231,137,볼,,,,1,2,0,1,초,0,0,0,0,좌,,이종욱,,,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,73339.0,,,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,2,6,-1,20110416OBSS0
직구,정인욱,정수빈,79440,79231,137,타격,안타,안타,정수빈 : 중견수 앞 1루타; 1루주자 이종욱 : 3루까지 진루;,2,2,0,1,초,0,0,0,0,좌,,이종욱,,,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,73339.0,,,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,2,7,-1,20110416OBSS0
직구,정인욱,김현수,79440,76290,139,볼,,,,0,0,0,1,초,0,0,0,0,좌,,정수빈,,이종욱,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,79231.0,,73339.0,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,3,1,-1,20110416OBSS0
직구,정인욱,김현수,79440,76290,139,파울,,,,1,0,0,1,초,0,0,0,0,좌,,정수빈,,이종욱,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,79231.0,,73339.0,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,3,2,-1,20110416OBSS0
슬라이더,정인욱,김현수,79440,76290,121,볼,,,,1,1,0,1,초,0,0,0,0,좌,,정수빈,,이종욱,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,79231.0,,73339.0,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,3,3,-1,20110416OBSS0
,정인욱,김현수,79440,76290,,,,,1루주자 정수빈 :  도루로 2루까지 진루;,2,1,0,1,초,0,0,0,0,좌,,정수빈,,이종욱,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,79231.0,,73339.0,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,3,,,20110416OBSS0
체인지업,정인욱,김현수,79440,76290,132,파울,,,,2,1,0,1,초,0,0,0,0,좌,,,정수빈,이종욱,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,,79231.0,73339.0,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,3,4,-1,20110416OBSS0
직구,정인욱,김현수,79440,76290,133,파울,,,,2,2,0,1,초,0,0,0,0,좌,,,정수빈,이종욱,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,,79231.0,73339.0,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,3,5,-1,20110416OBSS0
직구,정인욱,김현수,79440,76290,144,파울,,,,2,2,0,1,초,0,0,0,0,좌,,,정수빈,이종욱,정인욱,채상병,박석민,신명철,조동찬,김상수,최형우,이영욱,박한이,,79231.0,73339.0,79440,72742,74465,71504,72466,79402,72443,78467,71432,,,,,,,,,,,,,,,,,,20110416,SS,OB,삼성,두산,시민,박종철,3,6,-1,20110416OBSS0
