pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,문성현,김원섭,60336,71207,138,스트라이크,,,,0,0,0,1,초,0,0,0,0,좌,,,,,문성현,강귀태,이숭용,김민성,김민우,강정호,알드리지,장기영,유한준,,,,60336,72312,94310,77564,72303,76325,61332,71347,74339,,,,,,,,,,,,,,,,,,20110505,WO,HT,키움,KIA,목동,나광남,1,1,-1,20110505HTWO0
커브,문성현,김원섭,60336,71207,118,볼,,,,0,1,0,1,초,0,0,0,0,좌,,,,,문성현,강귀태,이숭용,김민성,김민우,강정호,알드리지,장기영,유한준,,,,60336,72312,94310,77564,72303,76325,61332,71347,74339,,,,,,,,,,,,,,,,,,20110505,WO,HT,키움,KIA,목동,나광남,1,2,-1,20110505HTWO0
직구,문성현,김원섭,60336,71207,140,볼,,,,1,1,0,1,초,0,0,0,0,좌,,,,,문성현,강귀태,이숭용,김민성,김민우,강정호,알드리지,장기영,유한준,,,,60336,72312,94310,77564,72303,76325,61332,71347,74339,,,,,,,,,,,,,,,,,,20110505,WO,HT,키움,KIA,목동,나광남,1,3,-1,20110505HTWO0
직구,문성현,김원섭,60336,71207,140,타격,포스 아웃,땅볼 아웃,김원섭 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃);,2,1,0,1,초,0,0,1,0,좌,,,,,문성현,강귀태,이숭용,김민성,김민우,강정호,알드리지,장기영,유한준,,,,60336,72312,94310,77564,72303,76325,61332,71347,74339,,,,,,,,,,,,,,,,,,20110505,WO,HT,키움,KIA,목동,나광남,1,4,-1,20110505HTWO0
직구,문성현,박기남,60336,74103,141,스트라이크,,,,0,0,1,1,초,0,0,0,0,우,,,,,문성현,강귀태,이숭용,김민성,김민우,강정호,알드리지,장기영,유한준,,,,60336,72312,94310,77564,72303,76325,61332,71347,74339,,,,,,,,,,,,,,,,,,20110505,WO,HT,키움,KIA,목동,나광남,2,1,-1,20110505HTWO0
직구,문성현,박기남,60336,74103,146,파울,,,,0,1,1,1,초,0,0,0,0,우,,,,,문성현,강귀태,이숭용,김민성,김민우,강정호,알드리지,장기영,유한준,,,,60336,72312,94310,77564,72303,76325,61332,71347,74339,,,,,,,,,,,,,,,,,,20110505,WO,HT,키움,KIA,목동,나광남,2,2,-1,20110505HTWO0
슬라이더,문성현,박기남,60336,74103,132,볼,,,,0,2,1,1,초,0,0,0,0,우,,,,,문성현,강귀태,이숭용,김민성,김민우,강정호,알드리지,장기영,유한준,,,,60336,72312,94310,77564,72303,76325,61332,71347,74339,,,,,,,,,,,,,,,,,,20110505,WO,HT,키움,KIA,목동,나광남,2,3,-1,20110505HTWO0
체인지업,문성현,박기남,60336,74103,132,파울,,,,1,2,1,1,초,0,0,0,0,우,,,,,문성현,강귀태,이숭용,김민성,김민우,강정호,알드리지,장기영,유한준,,,,60336,72312,94310,77564,72303,76325,61332,71347,74339,,,,,,,,,,,,,,,,,,20110505,WO,HT,키움,KIA,목동,나광남,2,4,-1,20110505HTWO0
커브,문성현,박기남,60336,74103,119,볼,,,,1,2,1,1,초,0,0,0,0,우,,,,,문성현,강귀태,이숭용,김민성,김민우,강정호,알드리지,장기영,유한준,,,,60336,72312,94310,77564,72303,76325,61332,71347,74339,,,,,,,,,,,,,,,,,,20110505,WO,HT,키움,KIA,목동,나광남,2,5,-1,20110505HTWO0
직구,문성현,박기남,60336,74103,145,타격,안타,안타,박기남 : 중견수 앞 1루타;,2,2,1,1,초,0,0,0,0,우,,,,,문성현,강귀태,이숭용,김민성,김민우,강정호,알드리지,장기영,유한준,,,,60336,72312,94310,77564,72303,76325,61332,71347,74339,,,,,,,,,,,,,,,,,,20110505,WO,HT,키움,KIA,목동,나광남,2,6,-1,20110505HTWO0
