pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,사도스키,이영욱,60594,78467,140,볼,,,,0,0,0,1,초,0,0,0,0,좌,,,,,사도스키,강민호,이대호,조성환,황재균,문규현,이인구,전준우,손아섭,,,,60594,74540,71564,99543,76313,72546,73563,78513,77532,,,,,,,,,,,,,,,,,,20110505,LT,SS,롯데,삼성,사직,문승훈,1,1,-1,20110505SSLT0
직구,사도스키,이영욱,60594,78467,129,파울,,,,1,0,0,1,초,0,0,0,0,좌,,,,,사도스키,강민호,이대호,조성환,황재균,문규현,이인구,전준우,손아섭,,,,60594,74540,71564,99543,76313,72546,73563,78513,77532,,,,,,,,,,,,,,,,,,20110505,LT,SS,롯데,삼성,사직,문승훈,1,2,-1,20110505SSLT0
직구,사도스키,이영욱,60594,78467,143,파울,,,,1,1,0,1,초,0,0,0,0,좌,,,,,사도스키,강민호,이대호,조성환,황재균,문규현,이인구,전준우,손아섭,,,,60594,74540,71564,99543,76313,72546,73563,78513,77532,,,,,,,,,,,,,,,,,,20110505,LT,SS,롯데,삼성,사직,문승훈,1,3,-1,20110505SSLT0
직구,사도스키,이영욱,60594,78467,143,파울,,,,1,2,0,1,초,0,0,0,0,좌,,,,,사도스키,강민호,이대호,조성환,황재균,문규현,이인구,전준우,손아섭,,,,60594,74540,71564,99543,76313,72546,73563,78513,77532,,,,,,,,,,,,,,,,,,20110505,LT,SS,롯데,삼성,사직,문승훈,1,4,-1,20110505SSLT0
커브,사도스키,이영욱,60594,78467,120,헛스윙,삼진,삼진,이영욱 :  삼진 아웃;,1,2,0,1,초,0,0,0,0,좌,,,,,사도스키,강민호,이대호,조성환,황재균,문규현,이인구,전준우,손아섭,,,,60594,74540,71564,99543,76313,72546,73563,78513,77532,,,,,,,,,,,,,,,,,,20110505,LT,SS,롯데,삼성,사직,문승훈,1,5,-1,20110505SSLT0
직구,사도스키,배영섭,60594,79465,141,타격,포스 아웃,땅볼 아웃,배영섭 : 1루수 땅볼 아웃 (1루수 1루 터치아웃);,0,0,1,1,초,0,0,1,0,우,,,,,사도스키,강민호,이대호,조성환,황재균,문규현,이인구,전준우,손아섭,,,,60594,74540,71564,99543,76313,72546,73563,78513,77532,,,,,,,,,,,,,,,,,,20110505,LT,SS,롯데,삼성,사직,문승훈,2,1,-1,20110505SSLT0
직구,사도스키,채태인,60594,77463,139,스트라이크,,,,0,0,2,1,초,0,0,0,0,좌,,,,,사도스키,강민호,이대호,조성환,황재균,문규현,이인구,전준우,손아섭,,,,60594,74540,71564,99543,76313,72546,73563,78513,77532,,,,,,,,,,,,,,,,,,20110505,LT,SS,롯데,삼성,사직,문승훈,3,1,-1,20110505SSLT0
직구,사도스키,채태인,60594,77463,141,타격,포스 아웃,땅볼 아웃,채태인 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃);,0,1,2,1,초,0,0,1,0,좌,,,,,사도스키,강민호,이대호,조성환,황재균,문규현,이인구,전준우,손아섭,,,,60594,74540,71564,99543,76313,72546,73563,78513,77532,,,,,,,,,,,,,,,,,,20110505,LT,SS,롯데,삼성,사직,문승훈,3,2,-1,20110505SSLT0
직구,정인욱,전준우,79440,78513,142,파울,,,,0,0,0,1,말,0,0,0,0,우,,,,,정인욱,진갑용,채태인,신명철,박석민,김상수,최형우,이영욱,배영섭,,,,79440,97202,77463,71504,74465,79402,72443,78467,79465,,,,,,,,,,,,,,,,,,20110505,LT,SS,롯데,삼성,사직,문승훈,4,1,-1,20110505SSLT0
슬라이더,정인욱,전준우,79440,78513,130,볼,,,,0,1,0,1,말,0,0,0,0,우,,,,,정인욱,진갑용,채태인,신명철,박석민,김상수,최형우,이영욱,배영섭,,,,79440,97202,77463,71504,74465,79402,72443,78467,79465,,,,,,,,,,,,,,,,,,20110505,LT,SS,롯데,삼성,사직,문승훈,4,2,-1,20110505SSLT0
