pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
슬라이더,고원준,이용규,79349,74163,129,볼,,,,0,0,0,1,초,0,0,0,0,좌,,,,,고원준,강민호,박종윤,조성환,황재균,문규현,홍성흔,전준우,손아섭,,,,79349,74540,71562,99543,76313,72546,99222,78513,77532,,,,,,,,,,,,,,,,,,20110515,LT,HT,롯데,KIA,사직,김귀한,1,1,-1,20110515HTLT0
직구,고원준,이용규,79349,74163,139,타격,필드 아웃,플라이 아웃,이용규 : 좌익수 플라이 아웃;,1,0,0,1,초,0,0,1,0,좌,,,,,고원준,강민호,박종윤,조성환,황재균,문규현,홍성흔,전준우,손아섭,,,,79349,74540,71562,99543,76313,72546,99222,78513,77532,,,,,,,,,,,,,,,,,,20110515,LT,HT,롯데,KIA,사직,김귀한,1,2,-1,20110515HTLT0
직구,고원준,김선빈,79349,78603,140,스트라이크,,,,0,0,1,1,초,0,0,0,0,우,,,,,고원준,강민호,박종윤,조성환,황재균,문규현,홍성흔,전준우,손아섭,,,,79349,74540,71562,99543,76313,72546,99222,78513,77532,,,,,,,,,,,,,,,,,,20110515,LT,HT,롯데,KIA,사직,김귀한,2,1,-1,20110515HTLT0
커브,고원준,김선빈,79349,78603,101,타격,포스 아웃,땅볼 아웃,김선빈 : 투수 땅볼 아웃 (투수->1루수 송구아웃);,0,1,1,1,초,0,0,1,0,우,,,,,고원준,강민호,박종윤,조성환,황재균,문규현,홍성흔,전준우,손아섭,,,,79349,74540,71562,99543,76313,72546,99222,78513,77532,,,,,,,,,,,,,,,,,,20110515,LT,HT,롯데,KIA,사직,김귀한,2,2,-1,20110515HTLT0
직구,고원준,김원섭,79349,71207,142,스트라이크,,,,0,0,2,1,초,0,0,0,0,좌,,,,,고원준,강민호,박종윤,조성환,황재균,문규현,홍성흔,전준우,손아섭,,,,79349,74540,71562,99543,76313,72546,99222,78513,77532,,,,,,,,,,,,,,,,,,20110515,LT,HT,롯데,KIA,사직,김귀한,3,1,-1,20110515HTLT0
직구,고원준,김원섭,79349,71207,138,타격,필드 아웃,파울 플라이 아웃,김원섭 : 좌익수 파울플라이 아웃;,0,1,2,1,초,0,0,1,0,좌,,,,,고원준,강민호,박종윤,조성환,황재균,문규현,홍성흔,전준우,손아섭,,,,79349,74540,71562,99543,76313,72546,99222,78513,77532,,,,,,,,,,,,,,,,,,20110515,LT,HT,롯데,KIA,사직,김귀한,3,2,-1,20110515HTLT0
직구,로페즈,전준우,79644,78513,144,스트라이크,,,,0,0,0,1,말,0,0,0,0,우,,,,,로페즈,차일목,김주형,안치홍,이범호,김선빈,김상현,신종길,김원섭,,,,79644,73602,74605,79608,70756,78603,70646,72559,71207,,,,,,,,,,,,,,,,,,20110515,LT,HT,롯데,KIA,사직,김귀한,4,1,-1,20110515HTLT0
직구,로페즈,전준우,79644,78513,141,파울,,,,0,1,0,1,말,0,0,0,0,우,,,,,로페즈,차일목,김주형,안치홍,이범호,김선빈,김상현,신종길,김원섭,,,,79644,73602,74605,79608,70756,78603,70646,72559,71207,,,,,,,,,,,,,,,,,,20110515,LT,HT,롯데,KIA,사직,김귀한,4,2,-1,20110515HTLT0
직구,로페즈,전준우,79644,78513,135,타격,2루타,2루타,전준우 : 좌중간 2루타;,0,2,0,1,말,0,0,0,0,우,,,,,로페즈,차일목,김주형,안치홍,이범호,김선빈,김상현,신종길,김원섭,,,,79644,73602,74605,79608,70756,78603,70646,72559,71207,,,,,,,,,,,,,,,,,,20110515,LT,HT,롯데,KIA,사직,김귀한,4,3,-1,20110515HTLT0
직구,로페즈,박종윤,79644,71562,129,스트라이크,,,,0,0,0,1,말,0,0,0,0,좌,,,전준우,,로페즈,차일목,김주형,안치홍,이범호,김선빈,김상현,신종길,김원섭,,78513.0,,79644,73602,74605,79608,70756,78603,70646,72559,71207,,,,,,,,,,,,,,,,,,20110515,LT,HT,롯데,KIA,사직,김귀한,5,1,-1,20110515HTLT0
