pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,안승민,배영섭,60713,79465,136,스트라이크,,,,0,0,0,1,초,0,0,0,0,우,,,,,안승민,이희근,정원석,한상훈,이여상,이대수,최진행,강동우,추승우,,,,60713,78739,70240,73703,76435,72860,74729,98420,72139,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,1,1,-1,20110515SSHH0
체인지업,안승민,배영섭,60713,79465,131,스트라이크,,,,0,1,0,1,초,0,0,0,0,우,,,,,안승민,이희근,정원석,한상훈,이여상,이대수,최진행,강동우,추승우,,,,60713,78739,70240,73703,76435,72860,74729,98420,72139,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,1,2,-1,20110515SSHH0
직구,안승민,배영섭,60713,79465,140,볼,,,,0,2,0,1,초,0,0,0,0,우,,,,,안승민,이희근,정원석,한상훈,이여상,이대수,최진행,강동우,추승우,,,,60713,78739,70240,73703,76435,72860,74729,98420,72139,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,1,3,-1,20110515SSHH0
직구,안승민,배영섭,60713,79465,137,타격,포스 아웃,땅볼 아웃,배영섭 : 2루수 땅볼 아웃 (2루수->1루수 송구아웃);,1,2,0,1,초,0,0,1,0,우,,,,,안승민,이희근,정원석,한상훈,이여상,이대수,최진행,강동우,추승우,,,,60713,78739,70240,73703,76435,72860,74729,98420,72139,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,1,4,-1,20110515SSHH0
체인지업,안승민,박한이,60713,71432,131,스트라이크,,,,0,0,1,1,초,0,0,0,0,좌,,,,,안승민,이희근,정원석,한상훈,이여상,이대수,최진행,강동우,추승우,,,,60713,78739,70240,73703,76435,72860,74729,98420,72139,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,2,1,-1,20110515SSHH0
직구,안승민,박한이,60713,71432,139,타격,필드 아웃,플라이 아웃,박한이 : 중견수 플라이 아웃;,0,1,1,1,초,0,0,1,0,좌,,,,,안승민,이희근,정원석,한상훈,이여상,이대수,최진행,강동우,추승우,,,,60713,78739,70240,73703,76435,72860,74729,98420,72139,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,2,2,-1,20110515SSHH0
슬라이더,안승민,박석민,60713,74465,117,볼,,,,0,0,2,1,초,0,0,0,0,우,,,,,안승민,이희근,정원석,한상훈,이여상,이대수,최진행,강동우,추승우,,,,60713,78739,70240,73703,76435,72860,74729,98420,72139,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,3,1,-1,20110515SSHH0
슬라이더,안승민,박석민,60713,74465,129,스트라이크,,,,1,0,2,1,초,0,0,0,0,우,,,,,안승민,이희근,정원석,한상훈,이여상,이대수,최진행,강동우,추승우,,,,60713,78739,70240,73703,76435,72860,74729,98420,72139,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,3,2,-1,20110515SSHH0
직구,안승민,박석민,60713,74465,136,타격,필드 아웃,플라이 아웃,박석민 : 우익수 플라이 아웃;,1,1,2,1,초,0,0,1,0,우,,,,,안승민,이희근,정원석,한상훈,이여상,이대수,최진행,강동우,추승우,,,,60713,78739,70240,73703,76435,72860,74729,98420,72139,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,3,3,-1,20110515SSHH0
직구,배영수,강동우,70425,98420,139,볼,,,,0,0,0,1,말,0,0,0,0,좌,,,,,배영수,채상병,조영훈,신명철,박석민,김상수,배영섭,이영욱,박한이,,,,70425,72742,75441,71504,74465,79402,79465,78467,71432,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,4,1,-1,20110515SSHH0
직구,배영수,강동우,70425,98420,142,스트라이크,,,,1,0,0,1,말,0,0,0,0,좌,,,,,배영수,채상병,조영훈,신명철,박석민,김상수,배영섭,이영욱,박한이,,,,70425,72742,75441,71504,74465,79402,79465,78467,71432,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,4,2,-1,20110515SSHH0
직구,배영수,강동우,70425,98420,139,타격,3루타,3루타,강동우 : 좌익수 뒤 3루타;,1,1,0,1,말,0,0,0,0,좌,,,,,배영수,채상병,조영훈,신명철,박석민,김상수,배영섭,이영욱,박한이,,,,70425,72742,75441,71504,74465,79402,79465,78467,71432,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,4,3,-1,20110515SSHH0
직구,배영수,한상훈,70425,73703,141,볼,,,,0,0,0,1,말,0,0,0,0,좌,,,,강동우,배영수,채상병,조영훈,신명철,박석민,김상수,배영섭,이영욱,박한이,,,98420.0,70425,72742,75441,71504,74465,79402,79465,78467,71432,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,5,1,-1,20110515SSHH0
체인지업,배영수,한상훈,70425,73703,130,타격,안타,안타,한상훈 : 우익수 앞 1루타; 3루주자 강동우 : 홈인;,1,0,0,1,말,0,0,0,1,좌,,,,강동우,배영수,채상병,조영훈,신명철,박석민,김상수,배영섭,이영욱,박한이,,,98420.0,70425,72742,75441,71504,74465,79402,79465,78467,71432,,,,,,,,,,,,,,,,,,20110515,HH,SS,한화,삼성,한밭,박근영,5,2,-1,20110515SSHH0
