pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,차우찬,박용택,76455,72133,139,볼,,,,0,0,0,1,초,0,0,0,0,좌,좌,,,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,,,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,1,1,-1,20120407LGSS0
슬라이더,차우찬,박용택,76455,72133,124,볼,,,,1,0,0,1,초,0,0,0,0,좌,좌,,,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,,,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,1,2,-1,20120407LGSS0
직구,차우찬,박용택,76455,72133,134,스트라이크,,,,2,0,0,1,초,0,0,0,0,좌,좌,,,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,,,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,1,3,-1,20120407LGSS0
직구,차우찬,박용택,76455,72133,140,볼,,,,2,1,0,1,초,0,0,0,0,좌,좌,,,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,,,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,1,4,-1,20120407LGSS0
직구,차우찬,박용택,76455,72133,135,스트라이크,,,,3,1,0,1,초,0,0,0,0,좌,좌,,,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,,,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,1,5,-1,20120407LGSS0
슬라이더,차우찬,박용택,76455,72133,124,타격,안타,안타,박용택 : 우익수 앞 1루타;,3,2,0,1,초,0,0,0,0,좌,좌,,,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,,,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,1,6,-1,20120407LGSS0
직구,차우찬,이대형,76455,73153,134,타격,필드 아웃,플라이 아웃,이대형 : 좌익수 플라이 아웃;,0,0,0,1,초,0,0,1,0,좌,좌,박용택,,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,72133.0,,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,2,1,-1,20120407LGSS0
직구,차우찬,최동수,76455,94132,137,스트라이크,,,,0,0,1,1,초,0,0,0,0,우,좌,박용택,,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,72133.0,,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,3,1,-1,20120407LGSS0
직구,차우찬,최동수,76455,94132,139,헛스윙,,,,0,1,1,1,초,0,0,0,0,우,좌,박용택,,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,72133.0,,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,3,2,-1,20120407LGSS0
직구,차우찬,최동수,76455,94132,134,볼,,,,0,2,1,1,초,0,0,0,0,우,좌,박용택,,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,72133.0,,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,3,3,-1,20120407LGSS0
,차우찬,최동수,76455,94132,,,,,1루주자 박용택 :  폭투로 2루까지 진루;,1,2,1,1,초,0,0,0,0,우,좌,박용택,,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,72133.0,,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,3,,,20120407LGSS0
직구,차우찬,최동수,76455,94132,134,파울,,,,1,2,1,1,초,0,0,0,0,우,좌,,박용택,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,,72133.0,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,3,4,-1,20120407LGSS0
스플리터,차우찬,최동수,76455,94132,124,볼,,,,1,2,1,1,초,0,0,0,0,우,좌,,박용택,,차우찬,진갑용,채태인,신명철,박석민,김상수,최형우,배영섭,강봉규,,72133.0,,76455,97202,77463,71504,74465,79402,72443,79465,70224,,,,,,,,,,,,,,,,,,20120407,SS,LG,삼성,LG,시민,김병주,3,5,-1,20120407LGSS0
