pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,로페즈,이택근,79644,73342,142,스트라이크,,,,0,0,0,1,초,0,0,0,0,우,우,,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,이종환,이용규,신종길,,,,79644,73602,77623,79608,70646,72606,60667,74163,72559,,,,,,,,,,,,,,,,,,20100825,HT,LG,KIA,LG,무등,문승훈,1,1,-1,20100825LGHT0
직구,로페즈,이택근,79644,73342,141,볼,,,,0,1,0,1,초,0,0,0,0,우,우,,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,이종환,이용규,신종길,,,,79644,73602,77623,79608,70646,72606,60667,74163,72559,,,,,,,,,,,,,,,,,,20100825,HT,LG,KIA,LG,무등,문승훈,1,2,-1,20100825LGHT0
직구,로페즈,이택근,79644,73342,144,파울,,,,1,1,0,1,초,0,0,0,0,우,우,,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,이종환,이용규,신종길,,,,79644,73602,77623,79608,70646,72606,60667,74163,72559,,,,,,,,,,,,,,,,,,20100825,HT,LG,KIA,LG,무등,문승훈,1,3,-1,20100825LGHT0
슬라이더,로페즈,이택근,79644,73342,131,타격,안타,안타,이택근 : 중견수 앞 1루타;,1,2,0,1,초,0,0,0,0,우,우,,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,이종환,이용규,신종길,,,,79644,73602,77623,79608,70646,72606,60667,74163,72559,,,,,,,,,,,,,,,,,,20100825,HT,LG,KIA,LG,무등,문승훈,1,4,-1,20100825LGHT0
직구,로페즈,이대형,79644,73153,142,파울,,,,0,0,0,1,초,0,0,0,0,좌,우,이택근,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,이종환,이용규,신종길,73342.0,,,79644,73602,77623,79608,70646,72606,60667,74163,72559,,,,,,,,,,,,,,,,,,20100825,HT,LG,KIA,LG,무등,문승훈,2,1,-1,20100825LGHT0
직구,로페즈,이대형,79644,73153,141,볼,,,,0,1,0,1,초,0,0,0,0,좌,우,이택근,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,이종환,이용규,신종길,73342.0,,,79644,73602,77623,79608,70646,72606,60667,74163,72559,,,,,,,,,,,,,,,,,,20100825,HT,LG,KIA,LG,무등,문승훈,2,2,-1,20100825LGHT0
슬라이더,로페즈,이대형,79644,73153,129,볼,,,,1,1,0,1,초,0,0,0,0,좌,우,이택근,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,이종환,이용규,신종길,73342.0,,,79644,73602,77623,79608,70646,72606,60667,74163,72559,,,,,,,,,,,,,,,,,,20100825,HT,LG,KIA,LG,무등,문승훈,2,3,-1,20100825LGHT0
직구,로페즈,이대형,79644,73153,143,파울,,,,2,1,0,1,초,0,0,0,0,좌,우,이택근,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,이종환,이용규,신종길,73342.0,,,79644,73602,77623,79608,70646,72606,60667,74163,72559,,,,,,,,,,,,,,,,,,20100825,HT,LG,KIA,LG,무등,문승훈,2,4,-1,20100825LGHT0
체인지업,로페즈,이대형,79644,73153,129,파울,,,,2,2,0,1,초,0,0,0,0,좌,우,이택근,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,이종환,이용규,신종길,73342.0,,,79644,73602,77623,79608,70646,72606,60667,74163,72559,,,,,,,,,,,,,,,,,,20100825,HT,LG,KIA,LG,무등,문승훈,2,5,-1,20100825LGHT0
직구,로페즈,이대형,79644,73153,144,볼,,,,2,2,0,1,초,0,0,0,0,좌,우,이택근,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,이종환,이용규,신종길,73342.0,,,79644,73602,77623,79608,70646,72606,60667,74163,72559,,,,,,,,,,,,,,,,,,20100825,HT,LG,KIA,LG,무등,문승훈,2,6,-1,20100825LGHT0
직구,로페즈,이대형,79644,73153,145,파울,,,,3,2,0,1,초,0,0,0,0,좌,우,이택근,,,로페즈,차일목,최희섭,안치홍,김상현,이현곤,이종환,이용규,신종길,73342.0,,,79644,73602,77623,79608,70646,72606,60667,74163,72559,,,,,,,,,,,,,,,,,,20100825,HT,LG,KIA,LG,무등,문승훈,2,7,-1,20100825LGHT0
